objName,price,salePrice,style,parking,lon,lat,landArea,mainArea,affiliatedArea,zipCode
K9南京商圈X電梯鼎王,3380,3380,華廈,無,121.569079958,25.0524443614,7.22,28.49,4.62,105
逸仙名園電梯三房車,4790,4790,華廈,私有,121.559610372,25.0477428004,11.67,40.97,4.73,105
南京三民住辦獨棟華廈,4288,4288,華廈,無,121.56579764,25.0488544967,10.23,44.35,5.84,105
民生建成景觀套房,868,868,大樓,無,121.56457049,25.0582724419,0.62,6.25,0.96,105
饒河塔式休旅車位,80,80,大樓,私有,121.57060384,25.0501596519,0.06,,,105
民生圓環名人裝潢3室,2980,2980,大樓,無,121.562348755,25.0590875754,2.72,24.37,2.18,105
南京三民捷運醒目2樓店辦,4380,4380,大樓,無,121.560143316,25.0512903308,3.93,31.66,4.92,105
新東街寬巷3+1房,2988,2988,公寓,無,121.564159187,25.0614016466,13,28.29,5.2,105
太子敦園高樓雙車,7500,7500,大樓,私有,121.557228164,25.0490798928,12.5,31.41,4.28,105
DZ8南京復興｜雙敦學區宅,2988,2988,大樓,無,121.545298494,25.0477835145,1.85,10.74,3.38,105
BZ2南京三民信義星池高樓房車,1520,1520,大樓,私有,121.570552299,25.0500328082,1.47,6.59,1.43,105
DZ8雙敦高樓稀有釋出,4986,4986,華廈,無,121.555606981,25.0465549795,10.52,30.58,3.44,105
民生介壽美鼎家,3480,3480,公寓,無,121.560429867,25.0575906518,12.16,31.14,2.81,105
FZ5雙敦稀有庭院一樓,5886,5886,華廈,無,121.556959878,25.0457460372,13.69,30.92,3.57,105
J6東區｜三角窗店面｜小巨蛋,5888,5888,公寓,無,121.549823003,25.0453840407,8.77,26.96,2.9,105
雙敦•敦化雅極,3388,3388,大樓,無,121.546376228,25.0482820845,2.01,11.56,3.46,105
民生圓環邊間電梯四房,4588,4588,大樓,無,121.564661829,25.0588284359,3.29,37.53,4.54,105
南京三民電梯大戶,4800,4800,大樓,無,121.564674884,25.0511888222,5.55,36.77,4.36,105
小巨蛋育達都更宅,3880,3880,公寓,無,121.555643082,25.0504879879,12.02,28.03,3.35,105
富錦街林蔭3+1房,2800,2800,公寓,無,121.562800551,25.0607719373,10.66,25.4,3.73,105
松山河景精品宅,2480,2480,大樓,無,121.573985213,25.0501350004,1.69,9.49,0.85,105
國泰民生新城富寓一樓,3880,3880,公寓,無,121.55696,25.055813,9.38,26.1,4.08,105
南京三民頂家美寓,1868,1868,公寓,無,121.56881418,25.0532454037,8.09,20.46,3.54,105
松山新城將軍戶,5988,5988,大樓,無,121.555803148,25.0544852618,13.51,33.93,4.87,105
雙敦學區八德透天,3150,3150,透天,無,121.550408846,25.045601444,10.59,19.85,,105
松河高樓觀2房+車位,4530,4530,大樓,私有,121.576441,25.05119,3.28,20.05,1.45,105
健康國小3房,2750,2750,公寓,無,121.562999048,25.0576401578,12.36,30.3,2.54,105
市中心超值停車塔,9880,9880,其他,私有,121.558960177,25.0481962624,37.43,36.52,,105
健安新城E區美3房,5700,5700,大樓,無,121.563117865,25.0552894004,13.41,29.84,4.24,105
民生圓環都更席,8000,8000,華廈,無,121.565040744,25.0588463794,54.92,231.22,,105
小巨蛋邊間學區3房,4780,4780,華廈,無,121.551190268,25.0529292356,9.37,33.99,6.77,105
Y643延壽國宅稀有釋出,3250,3250,華廈,無,121.564694602,25.0558920163,7.91,22.14,2.21,105
Y642松山新城第十區兩房,3280,3280,大樓,公有,121.553110252,25.0557433739,8.12,18.17,2.9,105
民生河賞河景雅居,1800,1800,華廈,無,121.56959739,25.0573779537,6.56,10.78,1.46,105
大空間名人大廈,4960,4960,大樓,無,121.561925526,25.0590116001,4.81,42.38,6.87,105
超美裝潢!民生社區低公設-四房,4960,4960,大樓,無,121.561925526,25.0590116001,4.81,42.38,6.87,105
名人邊間四房美廈,4960,4960,大樓,無,121.561925526,25.0590116001,4.81,42.38,6.87,105
$中崙京華景觀四房,3980,3980,華廈,無,121.563410136,25.0489067808,9.44,39,4.51,105
敦化介壽學區精裝坡車,4780,4780,大樓,私有,121.556992211,25.0482319397,4.64,34.67,6.86,105
敦北琢賦豪邸,26750,26750,大樓,私有,121.549902667,25.0606360011,26.58,81.49,11.72,105
雙敦三房美寓,2080,2080,公寓,無,121.554033728,25.0508396051,8.24,20.28,0,105
民生社區美妝三房,2580,2580,公寓,無,121.566779935,25.0584843135,10.21,27.96,2.8,105
小巨蛋捷運敦化學區宅,2080,2080,公寓,無,121.554033728,25.0508396051,8.24,20.28,0,105
民生社區稀有大坪數質感3F,2800,2800,公寓,無,121.568415833,25.0611967258,12.01,29.06,4.62,105
建成花園溫馨套房,1088,1088,大樓,無,121.56457049,25.0582724419,0.73,8.01,1.32,105
小巨蛋捷運敦化學區宅,2080,2080,公寓,無,121.554033728,25.0508396051,8.24,20.28,0,105
323南京復興站大兩房,1998,1998,大樓,無,121.545139794,25.0479846321,1.44,12.88,2.17,105
松站商三收租美寓,1980,1980,公寓,無,121.569994749,25.0495223281,5.84,21.99,1.39,105
