objName,age
信陽街精美地上權3室-C戶,46.1
中正區美妝、學區、三房,49.4
泉州整新採光通風方正三房,49.4
C08中正泉州靜巷生活三房,49.4
美麗華3房車位,44.3
泰安御璽尚品生活美邸,17.3
信陽街精美地上權3室-D戶,46.1
豪宅阿亮~寧波西街金店面,41.8
冠德中正名門捷運學區景觀高樓,33.8
中正紀念堂仁愛靜巷華廈,42
信陽街精美地上權2室-A戶,46.1
信陽街精美地上權3室-B戶,46.1
自由規劃超大五房空間,41.2
【台大商圈出租獨棟大廈】,40.6
北門捷運燙金店面,35.5
站前透天店面,62.7
三元金店面,51.2
北車站前黃金三角窗店面,49.1
稀有重慶南路三角窗金店面,5.6
台大公館商圈樓中樓4+2房美寓,30.4
中正學區聚財屋,23.3
汀州路小坪數持分角地,
台北市近古亭捷運低公設2室,44.1
師大路都更黃金店面,69.7
新隆國宅都更店面,40.4
台電捷運一樓,52.9
中正傳家精美大戶,16.9
