objName,price,salePrice,style,parking,lon,lat,landArea,mainArea,affiliatedArea,zipCode
古亭站新廈墨香軒,5988,5988,華廈,私有,121.520303598,25.0219965247,7.99,21.47,2.36,100
西門站商四投報收租王,993,993,大樓,無,121.509178778,25.0422528142,0,10.75,0,100
西門站商四投報收租王,993,993,大樓,無,121.509178778,25.0422528142,0,10.75,0,100
Y580雙子星高樓景觀小資宅,1368,1368,大樓,無,121.515855622,25.0464205458,0.76,8.81,1.01,100
大安森林公園透天,6888,6888,透天,無,121.531891754,25.0355634087,20.87,39.67,,100
銅山官巷大庭院一樓,7800,7800,華廈,無,121.528288725,25.0395009766,9.33,36.04,5.28,100
台電大樓站金店面!,4500,4500,公寓,無,121.526890839,25.0209570682,9.98,27.22,0,100
北車稀有高樓商辦,6380,6380,大樓,無,121.515855622,25.0464205458,3.06,38.41,3.71,100
杭州南路面寬店面,8800,8800,華廈,無,121.521785167,25.0290174955,9.34,30.01,13.34,100
古亭捷運電梯方正2房,2398,2398,大樓,無,121.519573065,25.0263794234,2.01,18.13,2.47,100
匯台大精品套房,1588,1588,華廈,無,121.532337522,25.0157388154,2.92,6.63,0.83,100
幸安金華靜巷頂加美寓,2900,2900,公寓,無,121.531188237,25.0360957047,9.07,23.33,0,100
中正區水岸景觀三房(車位),4808,4808,大樓,私有,121.519953525,25.0211285998,3.6,21.44,5.72,100
匯台大精品美宅A,1588,1588,華廈,無,121.532337522,25.0157388154,3.29,6.63,0.83,100
巨流河文青三房附車位,4180,4180,大樓,私有,121.519953525,25.0211285998,3.17,18.85,4.8,100
巨流河河岸三房附車位,4808,4808,大樓,私有,121.519953525,25.0211285998,3.6,21.44,5.72,100
中正名門高樓景觀三房,4600,4600,大樓,無,121.517308514,25.0309373561,4.16,30.81,7.81,100
中正上雍名邸邊間4房車位近捷運,6888,6888,大樓,私有,121.517459306,25.0229343264,7.73,42.06,8.35,100
臺大醫院電梯美廈,3600,3600,華廈,無,121.521469777,25.0378817888,6.12,23.21,3.84,100
台電大樓公館高樓電梯頂加,4650,4650,大樓,無,121.530910305,25.0164572344,9.38,32.66,7.64,100
富享榮華四房後棟平車,9200,9200,大樓,私有,121.518797574,25.0325652084,,29.1,5.28,100
中正紀州同安2,5988,5988,華廈,私有,121.520303598,25.0219965247,7.81,22.53,2.36,100
古亭捷運電梯美妝2房車,4180,4180,華廈,私有,121.523049247,25.0231185637,8.28,22.81,3.35,100
中正紀州同安4,6188,6188,華廈,私有,121.520303598,25.0219965247,7.81,22.53,2.36,100
古亭捷運辦公後棟安靜,4180,4180,大樓,無,121.524404861,25.0239345941,4.4,31.16,7.1,100
中正紀州同安7,6488,6488,華廈,私有,121.520303598,25.0219965247,7.81,22.53,2.36,100
中正紀州同安6,6388,6388,華廈,私有,121.520303598,25.0219965247,7.81,22.53,2.36,100
中正紀州同安3,6088,6088,華廈,私有,121.520303598,25.0219965247,7.81,22.53,2.36,100
力麒首御高樓雙車位,8988,8988,大樓,私有,121.517713753,25.0269707804,9.46,41.72,6.3,100
中正區門牌獨棟大三房美寓,2880,2880,公寓,無,121.5160397,25.024265,13.16,38.37,0,100
中正廈門大面寬店面,2800,2800,公寓,無,121.517315,25.0247516,6.96,24.15,11.72,100
水岫  藏於城市的靜境,4360,4360,大樓,私有,121.516942664,25.0226026662,5.24,28.51,2.91,100
捷運台電大樓站2+1房,2950,2950,大樓,無,121.527410484,25.0211667312,2.93,25.26,4.94,100
台電捷運高樓景觀2+1房,2950,2950,大樓,無,121.527410484,25.0211667312,2.79,25.26,4.94,100
台電捷運採光電梯2+1房,2950,2950,大樓,無,121.527410484,25.0211667312,2.79,25.26,4.94,100
汀州路大馬路土地,5145,5145,土地,無,121.51161,25.02668,22.08,,,100
&古亭大都市指標A辦,14100,14100,大樓,私有,121.522485897,25.0266375858,6.75,76.99,4.91,100
專任。仁愛綠蔭美妝一樓附車位,5680,5680,大樓,私有,121.523945821,25.0391768282,14.45,30.89,3.95,100
臻第小資最愛美宅,980,980,大樓,無,121.517003598,25.0238795751,0.85,5.15,0.62,100
精選中正學區住辦頂加,5500,5500,華廈,無,121.519272441,25.0286445816,8.28,52.31,3.89,100
中正水源精美辦公,2800,2800,華廈,無,121.515800354,25.0237606402,6.62,27.82,1.35,100
公設未登古亭國中旁優質雙拼華廈,2300,2300,大樓,無,121.509861837,25.0248309847,5.82,29.26,2.46,100
植物園國泰邊間採光三房,3350,3350,華廈,無,121.506423657,25.0340250146,7.45,27.46,3.81,100
廈門街三角窗美店面,2888,2888,華廈,無,121.517394364,25.0223899945,6.11,11.96,0,100
