行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,房屋總價,單價,房,廳,衛,車位數量,是否加蓋,房屋類型_公寓,房屋類型_大樓,房屋類型_華廈,房屋類型_透天,緯度,經度,成交年月
1,0,0,0,0,0,0,0,0,0,0,0,1.74,0,88.45,0,0,0,0,0,0,1,0,0,25.062772,121.527232,11409
1,0,0,0,0,0,0,0,0,0,0,0,8.25,0,78.34,0,0,0,0,0,0,0,1,0,25.061733,121.538761,11409
1,0,0,0,0,0,0,0,0,0,0,0,1.19,0,112.42,0,0,0,0,0,0,1,0,0,25.065941,121.524597,11409
1,0,0,0,0,0,0,0,0,0,0,0,1.15,0,62.56,0,0,0,0,0,0,1,0,0,25.065409,121.525943,11409
1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,83.24,0,0,0,0,0,0,1,0,0,25.063664,121.528022,11409
1,0,0,0,0,0,0,0,0,0,0,0,1.23,0,87.93,0,0,0,0,0,0,1,0,0,25.060563,121.525788,11409
1,0,0,0,0,0,0,0,0,0,0,0,6.15,0,71.05,0,0,0,0,0,0,0,1,0,25.067242,121.530748,11409
1,0,0,0,0,0,0,0,0,0,0,0,0.86,0,60.55,0,0,0,0,0,0,1,0,0,25.060325,121.524832,11409
1,0,0,0,0,0,0,0,0,0,0,0,3.16,0,68.15,0,0,0,0,0,0,0,1,0,25.06117,121.526363,11409
1,0,0,0,0,0,0,0,0,0,0,0,8.58,0,81.4,0,0,0,0,0,0,0,1,0,25.061549,121.538554,11409
1,0,0,0,0,0,0,0,0,0,0,0,0.91,0,92.59,0,0,0,0,0,0,0,1,0,25.066727,121.526918,11409
1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,63.29,0,0,0,0,0,0,1,0,0,25.060325,121.524832,11409
1,0,0,0,0,0,0,0,0,0,0,0,7.79,0,70.38,0,0,0,0,0,1,0,0,0,25.059847,121.535851,11409
1,0,0,0,0,0,0,0,0,0,0,0,0.66,0,50.49,0,0,0,0,0,0,1,0,0,25.059421,121.52569,11409
1,0,0,0,0,0,0,0,0,0,0,0,1.5,0,89.79,0,0,0,0,0,0,0,1,0,25.058159,121.539953,11409
1,0,0,0,0,0,0,0,0,0,0,0,2.09,0,78.1,0,0,0,0,0,0,0,1,0,25.070041,121.533885,11409
1,0,0,0,0,0,0,0,0,0,0,0,0.89,0,81.92,0,0,0,0,0,0,1,0,0,25.066744,121.526994,11409
1,0,0,0,0,0,0,0,0,0,0,0,4.87,0,40.98,0,0,0,0,0,0,0,1,0,25.06674,121.526337,11409
1,0,0,0,0,0,0,0,0,0,0,0,8.22,0,36.76,0,0,0,0,0,0,0,1,0,25.057066,121.531737,11409
1,0,0,0,0,0,0,0,0,0,0,0,1.02,0,78.58,0,0,0,0,0,0,1,0,0,25.060325,121.524832,11409
1,0,0,0,0,0,0,0,0,0,0,0,13.43,0,65.73,0,0,0,0,0,1,0,0,0,25.057041,121.532446,11409
1,0,0,0,0,0,0,0,0,0,0,0,8.11,0,65.32,0,0,0,0,0,0,1,0,0,25.062772,121.527232,11409
1,0,0,0,0,0,0,0,0,0,0,0,3.06,0,78.22,0,0,0,0,0,0,1,0,0,25.065311,121.537058,11409
1,0,0,0,0,0,0,0,0,0,0,0,1.95,0,104.07,0,0,0,0,0,0,1,0,0,25.064159,121.528009,11409
1,0,0,0,0,0,0,0,0,0,0,0,8.17,0,70.05,0,0,0,0,0,1,0,0,0,25.059756,121.539304,11409
1,0,0,0,0,0,0,0,0,0,0,0,0.66,0,54.51,0,0,0,0,0,0,1,0,0,25.059421,121.52569,11408
1,0,0,0,0,0,0,0,0,0,0,0,1.75,0,92.15,0,0,0,0,0,1,0,0,0,25.059423,121.538889,11408
1,0,0,0,0,0,0,0,0,0,0,0,2.95,0,104.83,0,0,0,0,0,0,0,1,0,25.057611,121.528751,11408
1,0,0,0,0,0,0,0,0,0,0,0,10.38,0,81.78,0,0,0,0,0,1,0,0,0,25.058571,121.532154,11408
1,0,0,0,0,0,0,0,0,0,0,0,1.14,0,123.39,0,0,0,0,0,0,1,0,0,25.059893,121.533371,11408
