行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,房屋總價,單位,房,廳,衛,車位數量,是否加蓋,房屋類型_公寓,房屋類型_大樓,房屋類型_華廈,房屋類型_透天
0,0,0,0,0,0,1,0,0,0,0,0,25.19,15000000,595424.0,2,2,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,32.62,19300000,591636.0,4,2,2,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,28.92,19630000,678724.0,3,2,2,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,9.43,6200000,657342.0,1,1,1,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,31.68,26000000,820612.0,3,2,2,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,21.57,27000000,1251493.0,3,1,1,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,125.16,110000000,878840.0,4,2,2,3,1,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,20.09,10000000,497635.0,3,2,1,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,49.42,39200000,798741.0,3,2,2,1,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,25.94,15000000,578274.0,3,1,1,0,1,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,14.39,8000000,556065.0,3,2,1,0,1,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,30.55,15000000,491057.0,1,1,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,29.21,21900000,749762.0,1,2,1,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,9.41,3500000,371797.0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,46.27,48500000,1048259.0,4,2,2,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,31.43,16250000,517077.0,3,2,2,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,20.96,17290000,824900.0,1,2,1,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,33.24,24300000,768549.0,2,2,1,1,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,24.95,24580000,1045568.0,2,0,1,1,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,35.33,35420000,1045294.0,1,2,1,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,11.43,2560000,223945.0,3,1,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,10.28,4800000,466700.0,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,10.2,5000000,490184.0,1,1,1,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,27.68,14580000,526819.0,3,2,2,0,1,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,53.48,61000000,1339401.0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,14.08,10879809,772641.0,4,2,2,2,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,42.37,25480000,741640.0,3,2,1,1,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,13.95,12100000,867306.0,1,1,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,12.56,11000000,875816.0,1,1,1,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,21.46,13600000,633758.0,2,2,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,31.83,20880000,655884.0,3,2,1,0,1,0,0,1,0
