物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS66728,商三都更收租透天,松山區八德路四段,OPEN,161坪,1-2/2樓,154年,店面,149萬
WS46360,高興興業河景商旅,松山區基隆路一段,18室/1廳/17衛,182坪,18/18樓,177年,其他,172萬
WS55103,084松山双捷運商辦大樓,松山區基隆路一段,6房(室)2廳--衛,199坪,5/18樓,177年,辦公,191萬
WS61808,南京三民純辦,松山區南京東路五段,--房(室)1廳2衛,222坪,3/15樓,216年,住商,209萬
ZS195810,南京三民企業總部,松山區南京東路五段,--房(室)1廳--衛,222坪,3/15樓,216年,辦公,209萬
YS185244,敦北映紅園美三房,松山區民族東路,3房(室)2廳4衛,42坪,2/7樓,36年,住宅,25萬
WS50735,雙敦學區一樓店住辦,松山區八德路三段,OPEN,71坪,1/7樓,64年,店面,57萬
WS52613,大巨蛋景觀美辦,松山區八德路三段,6室2廳3衛,94坪,9/12樓,89年,辦公,82萬
WS56593,南京三民電梯美三房,松山區南京東路五段,3房(室)2廳2衛,118坪,5/6樓,112年,住宅,106萬
ZS194954,介壽學區民權公園旁二樓雅寓,松山區富錦街,3房(室)2廳1衛,145坪,2/5樓,138年,住宅,132萬
WS55357,松山雙鐵河景美宅,松山區八德路四段,1房(室)1廳1衛,166坪,7/12樓,11年,住宅,157萬
WS56675,南京三民電梯美三房,松山區南京東路五段,3房(室)2廳2衛,118坪,5/6樓,112年,住宅,106萬
WS57772,雙敦學區一層一戶邊間三房華廈,松山區敦化南路一段,3房(室)2廳2衛,194坪,4/7樓,189年,住宅,185萬
TS138995,小巨蛋面寬金店面,松山區八德路三段,開放式,217坪,B1-1/7樓,211年,店面,207萬
WS56768,翔譽101邊間,松山區八德路四段,1房(室)1廳1衛,236坪,4/13樓,230年,住宅,227萬
ZS196118,松山大土地坪數全新裝潢,松山區東興路,7房(室)2廳4衛,44坪,5/5樓,37年,住宅,26萬
WS52076,松山捷運河景2房+車位,松山區松河街,2房(室)2廳1衛,75坪,6/15樓,67年,住宅,58萬
WS50827,南京三民站雙車位樓中樓,松山區南京東路五段,3房(室)2廳3衛,100坪,17/17樓,93年,住宅,88萬
