物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
ZS196736,松山國小雙捷運電梯大樓附車位,南港區八德路四段,--房(室)2廳1衛,202坪,5/16樓,196年,其他,189萬
WS65309,南港玉成公園溫馨三房,南港區玉成街,3房(室)1廳1衛,225坪,5/5樓,218年,住宅,214萬
WS61733,[中研苑士]南港2房車即將交屋,南港區南深路,2房(室)2廳1衛,41坪,2/5樓,36年,住宅,25萬
WS61736,[中研苑士]南港2房車即將交屋,南港區南深路,2房(室)2廳1衛,41坪,4/5樓,36年,住宅,51萬
WS55614,昆陽面公園美寓,南港區忠孝東路六段,3房(室)2廳2衛,78坪,3/4樓,71年,住宅,64萬
WS61964,昆陽面公園大三房,南港區忠孝東路六段,3房(室)2廳2衛,78坪,3/4樓,71年,住宅,64萬
WS65913,松山捷運站優值辦公室,南港區八德路四段,10室1廳,113坪,8/13樓,107年,辦公,100萬
ZS198548,後山埤邊間雅寓,南港區同德路,3房(室)2廳2衛,136坪,5/5樓,129年,住宅,126萬
XS123838,玉成公園收租美寓,南港區成福路,5房(室)--廳4衛,159坪,4/5樓,154年,住宅,148萬
QS43051,獨家南港玉成公園綠意三房,南港區成福路,3房(室)2廳2衛,178坪,4/5樓,172年,住宅,170萬
ZS175156,後山埤捷運持分住地,南港區,19,19坪,1/19樓,19年,土地,189萬
ZS194511,南港路三段電梯大廠辦,南港區南港路三段,--房(室)--廳2衛,218坪,3/5樓,213年,廠房,207萬
WS51416,玉成大賞小資美宅,南港區成福路,1房(室)1廳1衛,44坪,5/11樓,37年,住宅,26萬
ZS195343,8109遠雄I-City大廠店,南港區成功路一段,開放式,74坪,1/14樓,68年,店面,60萬
ZS195348,8982遠雄全新挑高六米一樓,南港區成功路一段,開放式,89坪,1/14樓,68年,店面,83萬
WS52086,香榭帝寶三房+車位,南港區重陽路,3房(室)2廳2衛,112坪,4/14樓,105年,住宅,99萬
TS132647,南港土地投資案,南港區昆陽街,--房(室)--廳--衛,27坪,1/1樓,27年,土地,124萬
YS195026,後山埤捷運&東方爵士電梯正1房1廳,南港區成福路,1房(室)2廳1衛,154坪,3/6樓,149年,住宅,144萬
WS66000,玉成大賞邊間A棟+車位,南港區成福路,3房(室)--廳1衛,173坪,2/11樓,168年,住宅,164萬
WS65760,後山埤精品店面,南港區忠孝東路六段,4房(室)1廳2衛,198坪,1/16樓,182年,店面,185萬
OS213962,W78捷運後山埤忠孝無極店面,南港區忠孝東路六段,6房(室)1廳2衛,198坪,1-4/16樓,182年,店面,184萬
ZS198384,近捷運展覽館站店面,南港區中南街,3房(室)2廳1衛,228坪,1/2樓,231年,店面,226萬
WS62212,忠孝東路六段金店面,南港區忠孝東路六段,1房(室)1廳2衛,46坪,1/16樓,38年,店面,26萬
ZS199823,南港舊莊美寓,南港區舊莊街一段,3房(室)2廳1衛,73坪,2/4樓,68年,住宅,59萬
YS190938,南港三鐵黃金公寓,南港區中南街,3房(室)2廳2衛,86坪,4/4樓,88年,住宅,84萬
ZS199981,經貿園墅二房坡平,南港區港東街,2房(室)2廳1衛,117坪,6/7樓,112年,住宅,104萬
ZS199998,近利百代產業生活專區壹樓,南港區南港路三段,１廳１衛,140坪,1/4樓,134年,廠房,129萬
ZS199913,威京尊龍店辦住坡平,南港區南港路二段,4房(室)2廳2衛,163坪,1/12樓,158年,住宅,151萬
ZS200087,南港重陽中視金店面,南港區重陽路,--房(室)1廳1衛,183坪,1/8樓,178年,店面,173萬
WS69971,玉成公園低總鼎佳,南港區玉成街,5房(室)2廳4衛,207坪,5/5樓,200年,住宅,194萬
ZS200365,南港黃金地段商三特持分土地,南港區0670南港段二小段,27,27坪,27/27樓,27年,土地,217萬
