區域,建案名稱,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位
中正區,實小黃金3樓邊間,台北市中正區三元街,1588 萬,公寓,47.9年,建坪20.99,主+陽20.98,3/5樓,3房(室)2廳1衛(含加蓋1房(室)--廳1衛),0
中正區,台大靜巷電梯四房,台北市中正區晉江街,6000 萬,華廈,48.7年,建坪68.03,主+陽68.03,5/6樓,4房(室)2廳3衛,0
中正區,翔譽第一名廈豪邸,台北市中正區廈門街,2998 萬 (含車位價),辦公商業大樓,17.8年,建坪30.81,主+陽17.64,2/15樓,2房(室)2廳2衛(含加蓋1房(室)--廳--衛),1
中正區,藍線捷運景觀辦公,台北市中正區忠孝東路一段,18800 萬,辦公商業大樓,43.3年,建坪153.17,主118.63,7/12樓,5房(室)2廳2衛,0
中正區,台大樸園坡平車位,台北市中正區汀州路三段,4580 萬 (含車位價),華廈,25.3年,建坪46.67,主+陽23.81,4/9樓,2房(室)2廳2衛,1
中正區,耕玉東門坡車新屋,台北市中正區連雲街,9980 萬 (含車位價),住宅大樓,1.8年,建坪63.28,主+陽33.51,10/13樓,3房(室)2廳2衛,1
中正區,廈川里美2FB1,台北市中正區,1731 萬,住宅大樓,--年,建坪17.02,主+陽11.08,2/14樓,2房(室)1廳1衛,0
中正區,戀戀台大小品,台北市中正區羅斯福路四段,1980 萬,辦公商業大樓,20.1年,建坪15.79,主+陽10.82,7/15樓,1房(室)1廳1衛,0
中正區,古亭捷運金鑽電梯,台北市中正區南昌路二段,3380 萬 (含車位價),辦公商業大樓,29.2年,建坪37.40,主17.65,3/11樓,2房(室)2廳1衛,1
中正區,獨戶朝南高樓遠景,台北市中正區濟南路一段,12630 萬 (含車位價),住宅大樓,20.1年,建坪83.23,主+陽49.22,13/15樓,4房(室)2廳2衛,1
中正區,高樓遠景四面採光,台北市中正區杭州南路一段,11800 萬 (含車位價),住宅大樓,18.1年,建坪106.18,主+陽64.68,14/14樓,5房(室)2廳3衛(含加蓋--房(室)--廳1衛),1
中正區,中正國中靜巷大戶,台北市中正區杭州南路一段,5800 萬,辦公商業大樓,40.5年,建坪46.32,主+平44.46,1/10樓,6房(室)2廳2衛(含加蓋1房(室)--廳--衛),0
中正區,中正國中電梯2房,台北市中正區杭州南路一段,3380 萬,華廈,9.8年,建坪22.68,主+陽14.03,2/7樓,--房(室)1廳1衛,0
中正區,仁愛靜巷五房坡車,台北市中正區仁愛路一段,8899 萬 (含車位價),華廈,11.5年,建坪69.89,主+陽31.54,6/9樓,5房(室)2廳2衛(含加蓋1房(室)--廳--衛),1
中正區,仁愛璞園正面公園,台北市中正區臨沂街,8288 萬 (含車位價),華廈,24.4年,建坪70.62,主+陽36.08,2/7樓,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),1
中正區,南門學區裝潢美宅,台北市中正區中華路二段,4280 萬,華廈,51.7年,建坪51.22,主42.68,4/7樓,4房(室)2廳2衛,0
中正區,捷運古亭燙金商辦,台北市中正區南昌路二段,1988 萬,辦公商業大樓,31.5年,建坪16.95,主+陽12.22,4/11樓,--房(室)--廳1衛,0
中正區,廈川里美2FB2,台北市中正區,1765 萬,住宅大樓,--年,建坪17.00,主+陽11.06,2/14樓,2房(室)1廳1衛,0
中正區,校園邊間電梯美廈,台北市中正區詔安街,2768 萬,華廈,48.5年,建坪43.96,主+陽37.48,2/7樓,3房(室)2廳2衛,0
中正區,中正學區DC2房,台北市中正區南昌路一段,3588 萬 (含車位價),住宅大樓,16.8年,建坪33.60,主+陽17.16,11/15樓,2房(室)1廳1衛,1
中正區,汀洲路低總價店辦,台北市中正區汀州路一段,1768 萬 (含車位價),店面,9.5年,建坪16.24,主7.51,1/9樓,--房(室)1廳1衛,1
中正區,東門金華兩房車,台北市中正區臨沂街,4586 萬 (含車位價),華廈,17.6年,建坪45.51,主+陽21.71,4/6樓,2房(室)2廳1衛,1
中正區,樹海美廈三房雙車,台北市中正區林森南路,5688 萬 (含車位價),華廈,15.5年,建坪58.91,主+陽28.20,2/10樓,3房(室)2廳2衛,1
中正區,面寬三角金鑽店面,台北市中正區杭州南路一段,5980 萬,店面,39.8年,建坪--,無資料,B1~1/7樓,2房(室)2廳2衛,0
中正區,附小捷運電梯名門,台北市中正區南昌路一段,4600 萬,辦公商業大樓,33.7年,建坪39.95,主+陽+露37.85,10/12樓,3房(室)2廳2衛,0
中正區,向陽上冠優質三房,台北市中正區漢口街一段,4980 萬 (含車位價),住宅大樓,1.7年,建坪44.88,主+陽21.06,7/15樓,3房(室)2廳2衛,1
中正區,水岸露臺邊間美宅,台北市中正區廈門街,1988 萬,住宅大樓,7.4年,建坪21.15,主+陽12.37,2/12樓,1房(室)1廳1衛,0
中正區,古亭一樓庭院首選,台北市中正區廈門街,3380 萬,公寓,50.0年,建坪34.73,主34.73,1/4樓,2房(室)3廳1衛(含加蓋--房(室)1廳--衛),0
中正區,宏燁文華A戶2F,台北市中正區,1728 萬,華廈,--年,建坪12.51,主+陽7.14,2/9樓,1房(室)--廳1衛,0
中正區,仁愛獨家高樓四房,台北市中正區仁愛路二段,7588 萬 (含車位價),住宅大樓,45.2年,建坪63.09,主+陽47.31,8/12樓,4房(室)2廳2衛,1
中正區,邊間戶忠孝162,台北市中正區忠孝東路一段,2588 萬,辦公商業大樓,6.5年,建坪17.16,主+陽10.59,6/13樓,1房(室)1廳1衛,0
中正區,精華地段店辦一樓,台北市中正區南昌路一段,4900 萬,店面,50.2年,建坪78.83,主31.88,1/4樓,3房(室)2廳1衛,0
