區域,建案名稱,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位
文山區,邊間庭院漂亮別墅,台北市文山區福興路,3680 萬,透天厝,32.5年,建坪51.80,主+平+陽+露20.42,B1~2/2樓,4房(室)3廳3衛(含加蓋3房(室)1廳3衛),0
文山區,國泰格局三房美寓,台北市文山區景華街,1998 萬,公寓,42.0年,建坪37.31,主+陽30.66,5/5樓,3房(室)2廳1.5衛,0
文山區,敦南氣派寬敞別墅,台北市文山區木柵路四段,4600 萬,透天厝,33.5年,建坪103.42,主+平+陽+露78.47,B1~4/4樓,4房(室)2廳4衛(含加蓋1房(室)--廳2衛),0
文山區,仙岩公園庭院一樓,台北市文山區仙岩路,2798 萬,公寓,32.0年,建坪33.72,主+平32.91,1/5樓,4房(室)2廳2衛,0
文山區,低總價世新金店面,台北市文山區試院路,898 萬,華廈,21.9年,建坪17.56,主+陽10.16,1/5樓,--房(室)1廳1衛,0
文山區,政大翡翠庭院右,台北市文山區秀明路二段,2880 萬 (含車位價),住宅大樓,28.6年,建坪49.18,主+陽33.37,1/19樓,4房(室)--廳1衛,1
文山區,附中景觀花園獨棟,台北市文山區萬壽路,5200 萬,透天厝,51.3年,建坪63.31,主63.31,1~2/2樓,5房(室)4廳5衛(含加蓋1房(室)2廳2衛),0
文山區,政大綠意四房車位,台北市文山區萬壽路,2398 萬 (含車位價),公寓,26.7年,建坪60.84,主+陽+露42.23,3/3樓,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),1
文山區,捷運稀有庭院大戶,台北市文山區萬安街,3200 萬,公寓,35.4年,建坪51.35,主+平46.48,1/5樓,2房(室)2廳2衛,0
文山區,裝潢景觀三房平車,台北市文山區福興路,2980 萬 (含車位價),住宅大樓,16.1年,建坪45.90,主+陽23.08,5/13樓,3房(室)2廳2衛(含加蓋1房(室)--廳--衛),1
文山區,尊邸大宅誠售可談,台北市文山區木柵路四段,4388 萬 (含車位價),華廈,27.5年,建坪75.88,主+陽47.34,2/8樓,6房(室)2廳3衛(含加蓋2房(室)--廳--衛),1
文山區,景美車庫三房一樓,台北市文山區景華街,2988 萬,公寓,46.4年,建坪28.71,主+平28.02,1/5樓,3房(室)2廳2衛(含加蓋--房(室)--廳1衛),0
文山區,河堤實踐庭院大戶,台北市文山區辛亥路七段,2688 萬,公寓,49.8年,建坪33.67,主33.67,1/4樓,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),0
文山區,稀有獨棟興隆大戶,台北市文山區興隆路一段,2850 萬,公寓,48.4年,建坪43.60,主+陽43.60,3/5樓,3房(室)2廳2衛,0
文山區,政大美式庭院生活,台北市文山區指南路三段,2088 萬 (含車位價),華廈,15.4年,建坪22.94,主+陽10.57,1/10樓,--房(室)--廳--衛,1
文山區,文山超大車庫一樓,台北市文山區興隆路四段,3380 萬,公寓,37.3年,建坪54.21,主+平35.00,B1~1/5樓,5房(室)2廳3衛(含加蓋2房(室)--廳1衛),0
文山區,萬芳捷運兩房車位,台北市文山區萬芳路,2200 萬 (含車位價),華廈,26.1年,建坪33.17,主+陽19.59,3/7樓,2房(室)1廳1衛,1
文山區,未來捷運兩房平車,台北市文山區指南路三段,1998 萬 (含車位價),住宅大樓,26.4年,建坪33.55,主+陽16.68,6/12樓,2房(室)2廳1衛,1
文山區,文湖捷運華園透天,台北市文山區興隆路二段,4388 萬,透天厝,46.1年,建坪40.90,主+平+陽40.90,1~2/2樓,6房(室)1廳5衛(含加蓋2房(室)--廳3衛),0
文山區,木柵未來捷運頂加,台北市文山區秀明路一段,1380 萬,公寓,42.5年,建坪19.80,主18.49,5/5樓,3房(室)2廳2衛(含加蓋1房(室)--廳1衛),0
文山區,北市星空露臺豪邸,台北市文山區政大一街,3888 萬 (含車位價),華廈,20.5年,建坪74.35,主+陽40.28,6/7樓,4房(室)2廳2衛(含加蓋--房(室)1廳--衛),1
文山區,橡園朋庭院1樓,台北市文山區下崙路,2980 萬,華廈,9.0年,建坪42.38,主25.09,1/7樓,2房(室)2廳2.5衛(含加蓋--房(室)--廳0.5衛),0
文山區,木新首購邊間二房,台北市文山區木新路二段,1390 萬,公寓,48.1年,建坪21.97,主+陽21.97,5/5樓,2房(室)2廳1衛,0
文山區,知名連鎖燙金店面,台北市文山區羅斯福路五段,5800 萬,店面,51.9年,建坪38.41,主38.41,1/5樓,2房(室)3廳3衛(含加蓋2房(室)1廳2衛),0
文山區,帝王豪宅電梯別墅,台北市文山區辛亥路四段,11688 萬 (含車位價),透天厝,10.3年,建坪149.61,主+陽106.06,1~4/4樓,5房(室)3廳7衛(含加蓋--房(室)1廳1衛),1
文山區,木柵中心辦公大戶,台北市文山區木柵路三段,9980 萬 (含車位價),辦公商業大樓,33.5年,建坪175.03,主+陽118.25,4/19樓,8房(室)1廳1衛,1
文山區,稀有政大獨棟透天,台北市文山區指南路三段,10800 萬,透天厝,--年,建坪75.15,主75.15,1~2/2樓,11房(室)2廳4衛(含加蓋1房(室)--廳--衛),0
文山區,文山富境挑高美宅,台北市文山區和平東路四段,2988 萬,公寓,36.2年,建坪79.46,主+陽+露65.59,2~4/4樓,3房(室)4廳2衛,0
文山區,萬隆捷運邊間三房,台北市文山區羅斯福路五段,2500 萬,公寓,45.2年,建坪35.61,主+陽35.61,3/5樓,3房(室)2廳2衛,0
文山區,萬芳捷運帝景商辦,台北市文山區萬和街,3697 萬,辦公商業大樓,28.7年,建坪79.33,主57.54,12/13樓,2房(室)1廳--衛,0
文山區,靜心靜巷採光三房,台北市文山區興隆路二段,2750 萬,華廈,32.8年,建坪33.18,主+陽26.81,5/7樓,3房(室)2廳2衛,0
文山區,木柵透天別墅豪邸,台北市文山區木柵路二段,4900 萬,透天厝,38.2年,建坪70.24,主+平47.51,1~3/3樓,4房(室)4廳3衛(含加蓋--房(室)1廳1衛),0
文山區,政大電梯三房車位,台北市文山區萬壽路,3880 萬 (含車位價),華廈,26.7年,建坪73.72,主+陽40.77,3/5樓,3房(室)2廳2衛,1
文山區,考試院御書大透天,台北市文山區試院路,3380 萬,透天厝,44.5年,建坪73.98,主+平+陽73.99,B1~2/2樓,19房(室)--廳8衛(含加蓋4房(室)--廳2衛),0
