路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
台北市大同區大龍街,0,0,0,0,0,0,0,1,0,0,0,0,59.4,170.5,16880.0,0,19,4,18,0,1,2,1,2,2,0,0,0,0,1
台北市大同區重慶北路三段,0,0,0,0,0,0,0,1,0,0,0,0,41.25,35.51,4980.0,0,4,4,3,0,1,2,1,2,2,0,0,0,0,1
台北市大同區五原路,0,0,0,0,0,0,0,1,0,0,0,0,16.2,18.76,1498.0,1,1,1,1,0,1,14,5,5,1,0,1,0,0,0
台北市大同區迪化街一段,0,0,0,0,0,0,0,1,0,0,0,0,41.25,117.42,13800.0,1,5,2,3,0,0,2,1,2,2,0,0,0,0,1
台北市大同區市民大道一段,0,0,0,0,0,0,0,1,0,0,0,0,16.6,14.01,728.0,1,1,1,1,0,0,18,11,11,1,0,1,0,0,0
台北市大同區承德路三段,0,0,0,0,0,0,0,1,0,0,0,0,41.5,25.06,1750.0,1,2,2,1,0,0,5,3,3,1,1,0,0,0,0
台北市大同區蘭州街,0,0,0,0,0,0,0,1,0,0,0,0,41.0,25.48,1680.0,1,3,2,1,0,0,5,4,4,1,1,0,0,0,0
台北市大同區延平北路一段,0,0,0,0,0,0,0,1,0,0,0,0,1.9,76.35,10680.0,1,3,2,2,0,0,29,23,23,1,0,1,0,0,0
台北市大同區重慶北路一段,0,0,0,0,0,0,0,1,0,0,0,0,61.5,42.73,4580.0,0,3,5,4,0,1,3,1,3,3,0,0,0,0,1
台北市大同區承德路三段,0,0,0,0,0,0,0,1,0,0,0,0,15.5,111.93,9888.0,3,4,2,3,0,0,15,11,11,1,0,1,0,0,0
台北市大同區市民大道一段,0,0,0,0,0,0,0,1,0,0,0,0,16.6,27.97,1380.0,1,2,2,1,0,0,18,5,5,1,0,1,0,0,0
台北市大同區寧夏路,0,0,0,0,0,0,0,1,0,0,0,0,36.0,22.69,2688.0,0,2,2,1,0,0,5,2,2,1,1,0,0,0,0
台北市大同區民生西路,0,0,0,0,0,0,0,1,0,0,0,0,41.25,21.33,5980.0,0,1,1,2,0,1,2,1,2,2,0,0,0,0,1
台北市大同區承德路二段,0,0,0,0,0,0,0,1,0,0,0,0,71.1,21.17,9852.0,0,3,2,2,0,0,3,1,1,1,1,0,0,0,0
台北市大同區市民大道一段,0,0,0,0,0,0,0,1,0,0,0,0,16.6,14.28,688.0,1,1,1,1,0,0,18,8,8,1,0,1,0,0,0
台北市大同區承德路三段,0,0,0,0,0,0,0,1,0,0,0,0,13.5,57.78,7280.0,1,4,2,2,0,0,12,12,12,1,0,1,0,0,0
台北市大同區市民大道一段,0,0,0,0,0,0,0,1,0,0,0,0,16.6,14.01,688.0,1,1,1,1,0,0,18,9,9,1,0,1,0,0,0
台北市大同區蘭州街,0,0,0,0,0,0,0,1,0,0,0,0,68.7,47.06,6500.0,0,6,5,3,0,1,2,1,2,2,0,0,0,0,1
台北市大同區貴德街,0,0,0,0,0,0,0,1,0,0,0,0,59.1,23.98,1688.0,0,5,1,2,0,1,4,4,4,1,1,0,0,0,0
台北市大同區重慶北路一段,0,0,0,0,0,0,0,1,0,0,0,0,99.7,12.33,3680.0,0,3,1,2,0,0,1,1,1,1,0,0,0,0,1
台北市大同區承德路二段,0,0,0,0,0,0,0,1,0,0,0,0,57.7,68.17,12800.0,1,5,3,5,0,0,3,1,3,3,0,0,0,0,1
台北市大同區鄭州路,0,0,0,0,0,0,0,1,0,0,0,0,41.25,15.09,2888.0,0,3,3,2,0,1,2,1,2,2,0,0,0,0,1
台北市大同區環河北路一段,0,0,0,0,0,0,0,1,0,0,0,0,31.9,41.6,3188.0,1,2,1,1,0,0,7,7,7,1,0,0,0,1,0
台北市大同區延平北路二段,0,0,0,0,0,0,0,1,0,0,0,0,46.8,9.22,1088.0,0,2,1,1,0,1,11,8,8,1,0,1,0,0,0
台北市大同區甘州街,0,0,0,0,0,0,0,1,0,0,0,0,55.6,38.15,2980.0,0,7,3,4,0,0,4,2,2,1,1,0,0,0,0
台北市大同區民生西路,0,0,0,0,0,0,0,1,0,0,0,0,52.2,24.45,2888.0,0,3,2,2,0,0,4,3,3,1,1,0,0,0,0
台北市大同區延平北路二段,0,0,0,0,0,0,0,1,0,0,0,0,64.4,11.92,1688.0,0,3,2,2,0,0,0,1,1,1,1,0,0,0,0
台北市大同區延平北路一段,0,0,0,0,0,0,0,1,0,0,0,0,10.6,43.51,5000.0,1,2,2,2,0,1,13,12,12,1,0,1,0,0,0
台北市大同區重慶北路三段,0,0,0,0,0,0,0,1,0,0,0,0,74.5,29.64,6200.0,0,5,2,1,0,1,1,1,1,1,0,0,0,0,1
台北市大同區承德路二段,0,0,0,0,0,0,0,1,0,0,0,0,16.6,90.93,9988.0,3,3,2,2,0,0,15,12,12,1,0,1,0,0,0
