路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市信義區永吉路,34.2年,辦公/大樓,建坪 198.66,主 + 陽103.58,1廳8室,2樓/14樓,"13,680",2
台北市信義區吳興街,46.3年,公寓,建坪 36.29,主 + 陽36.29,4房2廳3衛(含加蓋1房1衛),5樓/5樓,"2,988",0
台北市信義區光復南路,37.0年,大樓/辦公,建坪 31.63,主 + 陽25.09,2房2衛1室,2樓/12樓,"3,418",0
台北市信義區吳興街,49.7年,公寓,建坪 25.24,主 + 陽25.24,3房2廳2衛,2樓/4樓,"2,268",0
台北市信義區基隆路二段,37.3年,華廈/辦公,建坪 37.61,主 + 陽30.7,4房2廳2衛,3樓/8樓,"3,598",0
台北市信義區吳興街,33.6年,華廈,建坪 31.16,主 + 陽28.42,3房2廳2衛,4樓/7樓,"3,788",0
台北市信義區光復南路,42.0年,公寓,建坪 36.07,主 + 陽34.22,3房2廳1.5衛,2樓/5樓,"3,500",0
台北市信義區信義路六段,43.1年,公寓,建坪 28.39,主建物24.56,3房2廳2衛,1樓/5樓,"3,486",0
台北市信義區吳興街,8.6年,華廈,建坪 25.89,主 + 陽15.08,1房2廳1衛,5樓/5樓,"2,485",1
台北市信義區吳興街,34.8年,華廈,建坪 57.75,主 + 陽50.06,8房2廳3衛,2樓/6樓,"3,850",0
台北市信義區和平東路三段,48.6年,公寓,建坪 32.56,主 + 陽32.56,3房2廳2衛,4樓/5樓,"2,180",0
台北市信義區富陽街,50.1年,公寓,建坪 31.01,主 + 陽31,3房2廳1衛,3樓/4樓,"2,250",0
台北市信義區松勤街,18.2年,大樓,建坪 15.71,主 + 陽10.21,1房1廳1衛,6樓/19樓,"2,680",0
台北市信義區基隆路一段,44.3年,華廈,建坪 39.12,主 + 陽34.12,3房2廳2衛,3樓/7樓,"4,228",0
台北市信義區信義路六段,44.2年,華廈,建坪 27.86,主建物19.92,3房2廳1衛,1樓/7樓,"2,588",0
台北市信義區祥雲街,44.6年,華廈,建坪 47.74,主 + 陽40.81,2房2廳2衛1室,3樓/7樓,"2,880",0
台北市信義區松勇路,1.6年,大樓,建坪 120.69,主 + 陽58.52,1廳,4樓/16樓,"19,988",2
台北市信義區信義路五段,16.7年,辦公/大樓,建坪 36.68,主 + 陽15.52,2房1廳1衛,2樓/19樓,"3,480",2
台北市信義區信義路五段,49.3年,公寓,建坪 27.1,主 + 陽27.1,3房2廳1衛,2樓/4樓,"2,222",0
台北市信義區光復南路,30.0年,其它,建坪 16.82,主 + 陽10.48,1房1廳1衛,12樓/20樓,"1,488",0
台北市信義區松智路,27.9年,大樓,建坪 50.44,主 + 陽28.08,2房2廳2衛,3樓/13樓,"5,988",1
台北市信義區虎林街,24.4年,公寓,建坪 18.45,主 + 陽15.47,3房1廳2衛(含加蓋1房1衛),5樓/5樓,"2,680",0
台北市信義區虎林街,24.4年,公寓,建坪 28.39,主 + 陽23.72,3房2廳2衛,2樓/5樓,"2,680",0
