路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市大同區塔城街,36.7年,辦公/大樓,建坪 55.36,主 + 陽36.8,3房2廳2衛,3樓/17樓,"5,800",0
台北市大同區市民大道一段,16.6年,大樓,建坪 19.95,主 + 陽10.23,1房1廳1衛,12樓/16樓,860,1
台北市大同區大龍街,3.9年,店面,建坪 17.75,主建物11.82,1廳1衛,1樓/13樓,"2,780",0
台北市大同區華陰街,46.8年,公寓,建坪 16.84,主建物16.84,1廳1衛,3樓/5樓,"3,080",0
台北市大同區南京西路,2.8年,店面,建坪 42.53,主建物18.81,1廳1衛,1樓/12樓,"7,400",0
台北市大同區延平北路二段,46.9年,店面/辦公/大樓,建坪 21.24,主建物18.01,1廳1衛1室,1樓/11樓,"2,880",0
台北市大同區太原路,13.0年,大樓/辦公,建坪 47.22,主 + 陽29.28,2房2廳2衛,7樓/12樓,"5,350",1
台北市大同區延平北路二段,46.9年,大樓,建坪 8.9,主 + 陽7.55,2房2廳1衛1室,9樓/11樓,"1,058",0
台北市大同區鄭州路,3.0年,大樓/辦公,建坪 31.26,主 + 陽16.15,2房2廳1衛1室,11樓/19樓,"4,200",1
台北市大同區延平北路二段,48.4年,辦公/大樓,建坪 11.84,主建物7.35,2房2廳2衛,7樓/11樓,999,0
台北市大同區歸綏街,30.4年,華廈,建坪 12.76,主 + 陽9.1,1房1廳1衛,4樓/7樓,"1,188",0
台北市大同區民權西路,38.3年,大樓,建坪 33.65,主 + 陽29.26,3房2廳2衛,7樓/12樓,"2,998",0
台北市大同區迪化街二段,45.1年,華廈,建坪 42.63,主 + 陽34.65,5房2廳2衛,6樓/7樓,"2,700",0
台北市大同區太原路,13.0年,大樓,建坪 74.31,主 + 陽46.87,3房2廳2衛1室,8樓/12樓,"8,588",1
台北市大同區南京西路,47.4年,套房/大樓,建坪 10.03,主 + 陽7.85,1房1衛,11樓/14樓,795,0
台北市大同區延平北路一段,37.5年,店面,建坪 16.71,主建物8.89,1廳1衛(含加蓋1衛),1樓/10樓,"2,800",0
台北市大同區重慶北路一段,37.4年,大樓,建坪 171.99,主 + 陽134.74,9房6廳5衛1室,9樓/12樓,"13,755",0
台北市大同區天水路,47.3年,辦公/大樓,建坪 12.71,主建物7.79,1房1廳1衛,11樓/11樓,998,0
台北市大同區承德路二段,1.3年,大樓,建坪 13.42,主 + 陽8.34,1房1廳1衛,2樓/15樓,"1,710",0
台北市大同區民族西路,58.6年,公寓,建坪 18.53,主建物18.53,2房1廳1衛,1樓/4樓,"1,898",0
台北市大同區承德路二段,1.3年,大樓/套房,建坪 13.09,主 + 陽8.14,1房1廳1衛,5樓/15樓,"1,850",0
台北市大同區延平北路四段,52.1年,公寓,建坪 22.79,主建物22.79,2房2廳1衛,3樓/4樓,"1,280",0
台北市大同區重慶北路二段,32.2年,辦公/大樓,建坪 47.32,主 + 陽30.35,1廳1室,12樓/12樓,"3,310",1
台北市大同區延平北路二段,46.9年,大樓,建坪 12.74,主建物10.11,2房1廳1衛,5樓/11樓,"1,198",0
台北市大同區太原路,13.0年,大樓,建坪 47.22,主 + 陽29.28,2房1廳1衛1室,8樓/12樓,"5,385",1
台北市大同區民生西路,48.8年,大樓,建坪 33.55,主 + 陽33.55,3房2廳2衛,4樓/11樓,"2,550",0
台北市大同區民族西路,3.5年,華廈,建坪 45.73,主 + 陽26.6,3房2廳2衛,5樓/7樓,"3,988",1
台北市大同區五原路,16.2年,店面,建坪 36.08,主 + 陽21.12,1廳1衛1室,1樓/14樓,"3,988",0
台北市大同區承德路二段,1.3年,大樓,建坪 13.09,主 + 陽8.14,1房1廳1衛,4樓/15樓,"1,833",0
台北市大同區歸綏街,46.5年,店面,建坪 22.5,主建物8.7,1廳1室,1樓/10樓,"2,299",0
