路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市士林區芝玉路二段,48.1年,公寓,建坪 30.34,主 + 陽30.34,3房2廳1.5衛,2樓/5樓,"2,300",0
台北市士林區天母東路,48.1年,華廈,建坪 32.88,主 + 陽27.96,3房2廳2衛,5樓/10樓,"2,800",0
台北市士林區中山北路六段,42.4年,華廈,建坪 29.96,主 + 陽24.93,2房2廳1.5衛,4樓/7樓,"2,688",0
台北市士林區德行東路,7.7年,其它,建坪 24.93,主建物24.93,1廳,1-1樓/1樓,"8,900",0
台北市士林區中山北路七段,47.7年,華廈,建坪 44.27,主建物24.64,3房2廳2衛,1樓/7樓,"3,288",1
台北市士林區新安路,29.7年,透天,建坪 92.81,主 + 陽86.84,10房3廳3衛1室(含加蓋4房1廳1衛1室),1-2樓/2樓,"12,500",0
台北市士林區光華路,49.9年,公寓,建坪 50.1,主 + 陽50.1,8房1廳2衛,3樓/4樓,"1,988",0
台北市士林區中山北路七段,41.4年,華廈,建坪 56.59,主 + 陽45.5,4房2廳2衛,2樓/7樓,"3,088",0
台北市士林區華齡街,46.0年,公寓,建坪 30.53,主 + 陽30.53,3房2廳2衛,3樓/5樓,"2,280",0
台北市士林區中正路,44.7年,公寓,建坪 43.46,主建物27.76,3房2廳2衛1室,B1-1樓/5樓,"3,680",0
台北市士林區菁山路,15.9年,華廈,建坪 41.31,主 + 陽16.38,1房1廳1衛,1樓/5樓,"2,460",1
台北市士林區中庸一路,31.4年,大樓,建坪 86.09,主 + 陽49.65,3房2廳2衛1室,13樓/14樓,"4,350",2
台北市士林區通河街,44.2年,華廈,建坪 38.29,主 + 陽33.47,2房2廳1衛1室(含加蓋1室),2樓/7樓,"2,680",0
台北市士林區克強路,48.1年,公寓,建坪 38.38,主 + 陽38.38,3房3廳2衛,3樓/5樓,"2,988",0
台北市士林區士東路,17.0年,華廈,建坪 22.97,主 + 陽12.54,2房2廳1衛(含加蓋1房),4樓/7樓,"2,580",0
台北市士林區雨聲街,43.7年,公寓,建坪 73.18,主 + 陽66.41,4房2廳3衛1室,4樓/5樓,"3,938",0
台北市士林區基河路,16.0年,大樓,建坪 143.23,主 + 陽77.43,4房3廳5衛,14-15樓/15樓,"14,799",2
台北市士林區社中街,42.7年,公寓,建坪 30.29,主 + 陽27.49,3房3廳1衛1室(含加蓋1房1廳),5樓/5樓,"1,790",0
台北市士林區通河街,44.2年,華廈/辦公,建坪 57.27,主 + 陽50.13,4房2廳2衛,2樓/7樓,"4,000",0
台北市士林區中山北路六段,43.6年,公寓,建坪 31.47,主 + 陽30.8,3房2廳2衛,3樓/5樓,"2,800",0
台北市士林區士東路,57.9年,透天,建坪 62.25,主建物62.25,5房3廳3衛1室(含加蓋2房),1-2樓/2樓,"11,800",1
