路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市中正區羅斯福路三段,53.0年,公寓,建坪 19.13,主 + 陽19.13,1房1廳1衛1室,2樓/4樓,"1,700",0
台北市中正區羅斯福路一段,16.9年,大樓,建坪 65.12,主 + 陽47.14,3房2廳2衛,13樓/14樓,"9,980",2
台北市中正區博愛路,12.4年,大樓,建坪 226.27,主 + 陽108.11,2廳4.5衛1室,9樓/12樓,"42,880",5
台北市中正區羅斯福路三段,53.0年,公寓,建坪 16.62,主建物16.62,3房2廳2衛(含加蓋1衛),1樓/4樓,"2,600",0
台北市中正區博愛路,10.4年,大樓/辦公,建坪 49.52,主 + 陽32.34,3房2廳2衛,5樓/15樓,"5,888",1
台北市中正區臨沂街,1.9年,華廈,建坪 50.75,主 + 陽26.09,2廳2衛,1樓/10樓,"8,288",1
台北市中正區羅斯福路一段,43.2年,大樓/套房,建坪 13.21,主建物9.69,1房1廳1衛,6樓/12樓,"1,535",0
台北市中正區公園路,58.5年,店面/辦公,建坪 23.29,主建物23.29,3房1廳1衛(含加蓋1衛),3樓/5樓,600,0
台北市中正區羅斯福路四段,40.6年,店面,建坪 28.2,主建物21.2,2廳1衛1室(含加蓋1衛1室),1樓/12樓,"7,500",0
台北市中正區杭州南路一段,35.3年,華廈,建坪 42.75,主建物16.6,3房2廳2衛(含加蓋1衛),B1-1樓/5樓,"4,308",0
台北市中正區汀州路三段,44.9年,華廈,建坪 32.13,主 + 陽28.29,3房2廳2衛,6樓/7樓,"2,780",0
台北市中正區信義路一段,29.8年,店面,建坪 35.08,主建物26.32,2房1廳2衛,1樓/12樓,"4,890",0
台北市中正區詔安街,36.8年,公寓,建坪 33.56,主建物27.62,3房2廳2衛,1樓/4樓,"2,580",0
