路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市內湖區大湖山莊街,36.7年,公寓,建坪 54.91,主 + 陽24.4,3房2廳3衛2室,B1-2樓/5樓,"3,500",1
台北市內湖區康樂街,39.4年,公寓,建坪 49.55,主建物29.23,3房2廳2衛1室,B1-1樓/5樓,"3,800",0
台北市內湖區內湖路二段,44.5年,公寓,建坪 31.37,主 + 陽31.37,5房3廳2.5衛(含加蓋2房1廳1衛),5樓/5樓,"2,588",0
台北市內湖區大湖山莊街,36.6年,公寓,建坪 50.17,主 + 陽28.45,4房3廳3衛,B1-2樓/5樓,"4,280",0
台北市內湖區文德路,41.3年,華廈,建坪 37.82,主 + 陽32.8,3房2廳2衛,5樓/7樓,"3,280",0
台北市內湖區洲子街,27.1年,辦公/店面,建坪 105.82,主 + 陽54.34,1廳,1樓/8樓,"8,258",3
台北市內湖區安康路,28.3年,店面/辦公,建坪 1125.79,主建物347.06,1廳2衛7室(含加蓋1衛),-1樓/8樓,"38,000",0
台北市內湖區康樂街,38.9年,公寓,建坪 30.23,主 + 陽21.8,3房3廳2.5衛(含加蓋1房1廳1.5衛),5樓/5樓,"1,768",0
台北市內湖區港墘路,43.9年,公寓,建坪 33.26,主 + 陽30.25,3房2廳1.5衛,3樓/5樓,"2,488",0
台北市內湖區文湖街,31.6年,華廈,建坪 33.32,主 + 陽26.09,4房4衛,4樓/9樓,"2,738",0
台北市內湖區瑞光路,9.8年,店面/辦公/大樓,建坪 188.32,主建物74.31,2廳7室,1樓/12樓,"23,000",4
台北市內湖區康寧路一段,49.5年,店面/透天,建坪 41.3,主 + 陽38.42,4廳2衛(含加蓋1廳),1-3樓/3樓,"10,800",0
台北市內湖區民權東路六段,26.2年,透天,建坪 77.4,主 + 陽65.15,4房2廳2衛1室,1-4樓/4樓,"6,980",1
台北市內湖區康樂街,39.6年,公寓,建坪 72.83,主 + 陽60.02,5房3廳4衛,1-2樓/3樓,"4,888",0
台北市內湖區民權東路六段,42.2年,公寓,建坪 30.32,主 + 陽28.22,6房3廳4.5衛(含加蓋3房1廳3衛),5樓/5樓,"2,168",0
台北市內湖區內湖路二段,43.3年,大樓,建坪 40.86,主 + 陽33.17,3房2廳2衛,2樓/12樓,"3,100",0
台北市內湖區民權東路六段,24.0年,華廈,建坪 87.59,主 + 陽47.33,4房2廳2衛1室,2-4樓/4樓,"5,888",2
台北市內湖區內湖路一段,44.9年,公寓,建坪 29.99,主建物24.18,2房3廳2衛(含加蓋1廳1衛),1樓/5樓,"3,300",0
台北市內湖區康樂街,41.0年,店面,建坪 28.03,主建物25.24,4房3廳1衛(含加蓋3房1廳),1樓/5樓,"4,480",0
台北市內湖區康寧路三段,26.6年,大樓,建坪 44.03,主 + 陽26.98,3房2廳2衛,6樓/11樓,"4,288",1
台北市內湖區民權東路六段,19.4年,透天,建坪 230.15,主 + 陽145.88,9房4廳9衛(含加蓋1房1廳1衛),1-4樓/4樓,"13,800",2
台北市內湖區東湖路,44.2年,公寓,建坪 23.31,主建物20.1,1房2廳2衛1室(含加蓋1衛1室),1樓/5樓,"2,680",0
台北市內湖區文德路,19.9年,華廈,建坪 31.92,主 + 陽20.28,2房1廳1衛1室,9樓/10樓,"2,988",1
台北市內湖區民權東路六段,18.7年,大樓,建坪 13.25,主 + 陽8.4,1房1廳1衛,5樓/12樓,"1,358",0
