路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市松山區八德路三段,34.4年,辦公/大樓,建坪 51.1,主 + 陽40.73,3房1廳,4樓/12樓,"4,499",0
台北市松山區三民路,53.6年,套房/其它,建坪 25.06,主 + 陽25.06,5房2廳5衛(含加蓋2房1廳2衛),6樓/6樓,"2,888",0
台北市松山區敦化北路,55.7年,辦公/大樓,建坪 62.69,主 + 陽54.12,3房1廳1衛,5樓/12樓,"6,980",0
台北市松山區民生東路四段,51.2年,公寓,建坪 40.83,主 + 陽40.83,4房4廳2衛1室(含加蓋1房2廳1衛1室),4樓/4樓,"4,800",0
台北市松山區南京東路五段,34.5年,辦公/大樓,建坪 197.81,主 + 陽126.23,1廳,6樓/15樓,"12,000",2
台北市松山區南京東路五段,41.8年,辦公/店面,建坪 44.62,主建物26.34,3房4廳3衛(含加蓋1房2廳1衛),1樓/7樓,"5,500",0
台北市松山區南京東路三段,40.6年,華廈,建坪 15.3,主 + 陽10.1,1房1廳1衛,3樓/7樓,"2,418",0
台北市松山區民生東路三段,45.2年,店面,建坪 52.05,主建物43.95,1廳2衛,1樓/7樓,"7,250",0
台北市松山區八德路三段,46.4年,店面,建坪 25.62,主建物22.25,3廳3衛(含加蓋1廳1衛),1樓/5樓,"3,100",0
台北市松山區光復北路,56.4年,公寓,建坪 36.16,主建物36.16,6房6衛(含加蓋2房2衛),4樓/4樓,"3,980",0
台北市松山區八德路三段,58.1年,公寓,建坪 17.45,主建物17.45,2房1廳1衛,2樓/4樓,"2,250",0
台北市松山區饒河街,45.7年,華廈,建坪 10.73,主建物8.91,1廳1衛,8樓/8樓,"1,100",0
台北市松山區八德路四段,35.2年,辦公,建坪 92.92,主 + 陽65.02,1廳2衛11室,6樓/7樓,"6,488",2
台北市松山區寶清街,8.3年,單售車位/大樓,建坪 8.82,主建物0,--,--,300,1
台北市松山區基隆路一段,33.6年,辦公/大樓,建坪 99.72,主 + 陽91.7,1廳2衛7室,9樓/12樓,"6,580",0
台北市松山區南京東路四段,預售,大樓,建坪 18.64,主+附 9.82,2房1廳1衛,13樓/15樓,"2,939",1
台北市松山區三民路,53.2年,公寓,建坪 35.43,主 + 陽35.43,6房6衛,4樓/4樓,"2,950",0
台北市松山區健康路,26.6年,店面/辦公/大樓,建坪 40.66,主建物22.81,2廳1衛1室(含加蓋1室),1樓/11樓,"4,588",0
台北市松山區八德路二段,59.2年,公寓,建坪 29.3,主建物27.83,4房1廳1衛1室(含加蓋1房),1樓/4樓,"3,980",0
台北市松山區八德路二段,預售,大樓,建坪 72.95,主+附 34.53,1廳2衛,11樓/12樓,"10,446",2
台北市松山區南京東路四段,64.4年,店面,建坪 28.83,主建物28.83,1廳1衛1室,1樓/4樓,"4,680",0
台北市松山區南京東路四段,63.1年,店面,建坪 24.8,主建物24.8,1廳1衛,1樓/4樓,"6,300",0
台北市松山區八德路二段,預售,大樓,建坪 91.48,主+附 45.57,1房2廳2衛,12樓/12樓,"16,614",2
台北市松山區八德路二段,預售,大樓,建坪 72.95,主+附 34.53,1廳2衛,9樓/12樓,"10,232",2
台北市松山區八德路二段,預售,大樓,建坪 72.95,主+附 34.53,1廳2衛,10樓/12樓,"10,319",2
台北市松山區八德路二段,預售,大樓,建坪 58.64,主+附 30.45,1廳2衛,2樓/12樓,"9,672",1
台北市松山區民生東路五段,49.4年,店面/辦公,建坪 46.71,主建物31.81,2廳2衛,1樓/7樓,"8,800",0
台北市松山區八德路四段,65.8年,店面,建坪 52.71,主建物47.68,2廳2衛3室(含加蓋1室),1-2樓/2樓,"12,000",0
台北市松山區寶清街,44.2年,華廈,建坪 35.92,主 + 陽29.35,6房4廳4衛1室(含加蓋1房1廳1衛1室),7樓/7樓,"3,280",0
台北市松山區新東街,51.9年,公寓,建坪 28.94,主建物28.94,4房1廳1衛,1樓/4樓,"2,800",0
