路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市中山區林森北路,0.8年,店面/辦公,建坪 28.19,主建物10.24,1廳1衛,1樓/9樓,"3,088",1
台北市中山區撫順街,35.3年,辦公,建坪 50.89,主 + 陽41.6,3房3廳1衛,2樓/9樓,"4,588",0
台北市中山區雙城街,37.8年,店面,建坪 45.85,主建物15.8,3廳1衛(含加蓋1廳),1樓/7樓,"4,980",0
台北市中山區長春路,28.3年,華廈/辦公,建坪 67.85,主 + 陽44.76,5房3廳4衛4室(含加蓋3房1廳2衛3室),10樓/10樓,"6,380",1
台北市中山區長春路,18.2年,大樓,建坪 20.82,主 + 陽10.66,2房2廳1衛(含加蓋2房),6樓/12樓,"1,998",1
台北市中山區敬業三路,25.7年,華廈/辦公,建坪 47.02,主 + 陽25.92,2房2廳2衛,1樓/10樓,"3,980",1
台北市中山區長春路,46.0年,辦公/其它/大樓,建坪 167.25,主 + 陽108.28,13房13衛2室(含加蓋1室),8樓/12樓,"15,500",2
台北市中山區合江街,40.7年,華廈/辦公,建坪 40.05,主建物33.73,4房2廳2衛,1樓/7樓,"7,980",1
台北市中山區敬業三路,25.7年,華廈,建坪 47.09,主 + 陽25.99,4房1廳2衛,7樓/8樓,"3,750",1
台北市中山區長安東路一段,38.2年,華廈,建坪 10.38,主 + 陽6.88,1房1廳1衛,6樓/7樓,"1,300",0
台北市中山區民權東路三段,41.4年,大樓/辦公,建坪 37.35,主 + 陽28.73,2房2廳1衛,5樓/15樓,"3,288",0
台北市中山區復興南路一段,58.5年,公寓,建坪 25.4,主建物25.4,3房2廳2衛(含加蓋1衛),2樓/4樓,"2,530",0
台北市中山區大直街,39.2年,華廈,建坪 63.42,主建物28.3,6房3廳3衛(含加蓋3房1廳1衛),1樓/7樓,"5,688",0
台北市中山區建國北路三段,40.9年,公寓,建坪 36.03,主 + 陽29.06,4房4廳3衛(含加蓋2房2廳1衛),5樓/5樓,"2,158",0
