路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市南港區三重路,14.1年,大樓,建坪 69.48,主 + 陽35.74,3房2廳2衛,4樓/13樓,"6,400",1
台北市南港區重陽路,13.8年,辦公/大樓,建坪 108.48,主 + 陽53.97,1廳2衛3室(含加蓋1衛),10樓/12樓,"5,989",3
台北市南港區興中路,31.2年,大樓,建坪 31.2,主 + 陽27,3房2廳1衛,5樓/17樓,"3,250",0
台北市南港區重陽路,19.1年,大樓,建坪 33.72,主 + 陽14.4,2房2廳2衛(含加蓋2廳),3樓/12樓,"2,888",2
台北市南港區經貿二路,13.3年,大樓,建坪 111.05,主 + 陽55.13,1廳,1樓/14樓,"10,220",2
台北市南港區重陽路,13.8年,店面,建坪 164,主 + 陽64.63,2廳1衛2室,1樓/12樓,"16,596",6
台北市南港區經貿二路,15.3年,大樓,建坪 48.78,主 + 陽22.31,2房2廳1.5衛1室,9樓/13樓,"4,380",1
台北市南港區向陽路,2.3年,華廈,建坪 35.28,主 + 陽17.31,2房2廳1衛,5樓/10樓,"4,300",1
台北市南港區經貿二路,12.0年,大樓,建坪 114.14,主 + 陽59.1,3房2廳2衛1室,3樓/21樓,"11,988",2
台北市南港區經貿二路,12.0年,華廈,建坪 81.09,主 + 陽37.74,3房2廳2衛,5樓/9樓,"6,988",2
台北市南港區興華路,36.2年,大樓,建坪 39.16,主 + 陽31.45,3房2廳1.5衛,3樓/13樓,"3,780",0
台北市南港區重陽路,15.9年,店面,建坪 59.15,主 + 陽44.32,1廳1衛1室,1樓/15樓,"9,580",0
台北市南港區重陽路,13.8年,店面,建坪 80.51,主 + 陽31.22,1廳1室,1樓/12樓,"8,550",3
台北市南港區忠孝東路六段,41.6年,辦公/華廈,建坪 33.83,主建物22.41,2房2廳2衛,1樓/7樓,"3,500",0
