物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天,經度,緯度
DZ2美妍家邊間陽光美宅,中山北路二段,1,0,0,0,0,0,0,0,0,0,0,0,20.6,139.0,3300,0,2,1,2,2,0,12,3,3,1,0,1,0,0,0,121.523650044,25.0592587813
行天宮超值三房,民生東路二段,1,0,0,0,0,0,0,0,0,0,0,0,56.2,160.0,2388,0,3,2,1,3,0,4,3,3,1,0,1,0,0,0,121.531272389,25.0593996742
EZ8民權東路｜龍騰三房車,民權東路二段,1,0,0,0,0,0,0,0,0,0,0,0,13.1,216.0,6688,1,3,2,2,3,0,12,4,4,1,0,1,0,0,0,121.529362698,25.0623961567
康寧低總價三房,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,49.2,70.0,1688,0,3,1,1,3,0,12,8,8,1,0,1,0,0,0,121.52557212,25.0555872963
BZ6民權西路站 | 低總美宅,撫順街,1,0,0,0,0,0,0,0,0,0,0,0,38.2,95.0,1230,0,1,1,1,1,0,10,3,3,1,0,1,0,0,0,121.52141438,25.063785459
中山德運官鼎三房城堡,民生東路二段,1,0,0,0,0,0,0,0,0,0,0,0,12.3,178.0,8900,1,3,2,2,3,0,14,10,10,1,0,1,0,0,0,121.527950172,25.0581568941
EZ7京硯｜奢華經典豪邸,建國北路一段,1,0,0,0,0,0,0,0,0,0,0,0,12.7,200.0,12998,1,3,2,3,3,0,13,11,11,1,0,1,0,0,0,121.537211821,25.0507867605
松江南京長安宴,長安東路二段,1,0,0,0,0,0,0,0,0,0,0,0,18.1,223.0,1498,0,1,1,1,1,0,13,7,7,1,0,1,0,0,0,121.535247204,25.0485180008
大直聖荷西5房3車豪邸,堤頂大道二段,1,0,0,0,0,0,0,0,0,0,0,0,22.5,160.0,9688,1,5,2,3,5,0,11,4,4,1,0,1,0,0,0,121.563280377,25.0793974408
CZ2A棟最A中山松悅名邸,中山北路一段,1,0,0,0,0,0,0,0,0,0,0,0,1.5,184.0,5530,1,2,2,2,2,0,22,7,7,1,0,1,0,0,0,121.521194348,25.0506166482
