物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
YS190963,士東商圈大坪數時代大廈,士林區士東路,4房(室)2廳2衛,147坪,6/7樓,140年,住宅,137萬
WS50230,富春居稀有二房豪邸採光好,士林區中山北路七段,2房(室)2廳2衛,168坪,3/7樓,162年,住宅,159萬
YS193372,劍潭站靜巷美廈邊間附車位,士林區基河路,3房(室)2廳2衛,191坪,4/16樓,185年,住宅,181萬
YS192340,富春居富人居,士林區中山北路七段,1房(室)2廳2衛,209坪,5/7樓,162年,住宅,202萬
ZS198869,陽明山系綠意景觀菁山路放翁名蘆,士林區菁山路,4房(室)2廳2衛,227坪,2/5樓,222年,住宅,219萬
TS142902,天母庭園明星學區電梯美三房,士林區天母西路,3房(室)2廳2衛,245坪,2/7樓,240年,住商,237萬
YS196406,T306近未來Y24裝潢美寓,士林區重慶北路四段,3房(室)3廳3衛,42坪,4/4樓,35年,住宅,26萬
WS70038,陽明山山居行旅整棟,士林區建業路,92房(室)1廳92衛,70坪,1-4/4樓,65年,住宅,56萬
ZS189865,文化大學獨棟出租套房,士林區格致路,26房(室)--廳26衛,95坪,B1-5/5樓,90年,住宅,82萬
TS138664,士林自住置產首選,士林區重慶北路四段,3房(室)2廳1衛,112坪,4/4樓,9年,住宅,105萬
YS189872,士林中正室內車位,士林區中正路,--房(室)--廳--衛,25坪,B1/11樓,131年,車位,123萬
XS140296,故宮花園足坪農地,士林區至善段五小段,25,25坪,25/25樓,25年,土地,145萬
ZS170594,陽明山永公泳池景觀別墅,士林區永公路,5房(室)3廳3衛,174坪,1-2/2樓,169年,住宅,161萬
YS130577,陽明綠莊花園別墅,士林區中庸五路,5房(室)2廳3衛,195坪,1-2/2樓,189年,住宅,185萬
QS40424,W42劍潭捷運精品房平面車,士林區劍潭路,1房(室)2廳1衛,214坪,11/14樓,131年,住宅,205萬
YS193358,天母國小首購三房挑高,士林區天母北路,2房1廳1衛；加蓋1房,238坪,4/6樓,231年,住宅,105萬
YS190639,士林捷運公園一樓平車,士林區中正路,5房(室)2廳3衛,47坪,1/5樓,39年,住宅,26萬
YS187967,德東雙併華廈三房,士林區德行東路,3房(室)2廳1衛,74坪,3/7樓,68年,住宅,60萬
YS190913,T267社中方便停車住辦一樓,士林區社中街,4房(室)3廳1衛,101坪,1/5樓,93年,住宅,87萬
YS193551,天母稀有3房美寓,士林區天母北路,3房(室)2廳1衛,122坪,4/5樓,116年,住宅,59萬
WS61551,忠誠蘭雅國中３房,士林區忠誠路二段,3房(室)2廳2衛,146坪,4/5樓,139年,住宅,135萬
YS191496,T270士林坡道車庫倉儲辦公,士林區社正路,--房(室)1廳1衛,160坪,B1/5樓,93年,辦公,158萬
YS193057,全新裝潢三房低公設+坡車~天母靜巷1樓,士林區中山北路七段,3房(室)2廳2衛,184坪,1/7樓,179年,住宅,158萬
YS196801,士林2樓靜巷雅寓,士林區中社路二段,4房(室)2廳2衛,198坪,2/4樓,201年,住宅,196萬
ZS199725,外雙溪雙溪國小3樓(近中社路),士林區明溪街,4房(室)2廳1衛,215坪,3/4樓,201年,住宅,196萬
YS167530,士林三代同堂靜巷1樓,士林區通河東街一段,3房2廳2衛 加蓋1室,241坪,1/5樓,235年,住宅,134萬
YS135264,天母國小住店辦1F,士林區天母北路,1房(室)2廳1衛,44坪,1/5樓,37年,住宅,26萬
OS187193,天母義豐庭名人居,士林區中山北路七段,4房(室)2廳2衛,71坪,4/7樓,66年,住宅,58萬
WS26431,天母麗莊四房美廈,士林區中山北路七段,4房(室)2廳2衛,90坪,4/7樓,85年,住宅,82萬
WS26449,天母僑校電梯4房+雙車位,士林區中山北路七段,4/2/2,90坪,4/7樓,85年,住宅,82萬
YS171561,T186士林捷運收租屋,士林區大西路,6房(室)--廳6衛,124坪,4/5樓,118年,住宅,113萬
YS172672,龍吟山莊帝景別墅,士林區莊頂路,6房(室)4廳3衛,147坪,1-2/2樓,141年,住宅,134萬
XS126151,劍潭捷運三房大公寓,士林區和豐街,3房(室)2廳1衛,161坪,4/4樓,163年,住宅,159萬
YS181190,忠誠大戶邊間四房公寓,士林區忠誠路二段,4房(室)2廳2衛,184坪,4/5樓,180年,住宅,82萬
YS183339,天母大庭院壹樓$,士林區中山北路七段,1房(室)3廳2衛,204坪,1/7樓,198年,住商,82萬
WS43379,A53天母中庭花園華廈,士林區中山北路七段,4房(室)2廳2衛,71坪,4/7樓,66年,住宅,58萬
YS163818,陽明山伯園山莊龍頭戶,士林區莊頂路,6房(室)3廳5衛,42坪,1-2/2樓,37年,住宅,25萬
YS196053,士東生活居,士林區士東路,3房(室)2廳2衛,59坪,B1/5樓,64年,住宅,57萬
YS182520,T212北市科住三之二金店面,士林區文林路,2房(室)3廳1衛,84坪,1/3樓,89年,店面,81萬
YS191554,【專任】三越‧明星學區大套房,士林區天母東路,1房(室)1廳1衛,120坪,2/7樓,113年,住宅,107萬
XS140295,故宮至善最後一席保護區農地,士林區至善段五小段,19,19坪,19/19樓,19年,土地,130萬
YS196414,天母SOGO車庫1F,士林區中山北路六段,5房(室)3廳5衛,156坪,1/5樓,150年,住宅,146萬
YS196127,芝山捷運SOGO美寓,士林區中山北路六段,2房(室)2廳6衛,176坪,4/5樓,170年,住宅,166萬
YS196186,美日僑凱園大四房車,士林區中山北路六段,4房(室)2廳3衛,197坪,7/7樓,192年,住宅,187萬
YS182332,T261士林捷運低總價小宅,士林區大北路,3房(室)1廳1衛,210坪,4/4樓,212年,住宅,208萬
YS182369,獨家寶殿都更套房,士林區文林路,--房(室)1廳1衛,238坪,9/11樓,232年,住宅,226萬
WS47549,陽明山仰德大道旁景觀別墅,士林區仰德大道二段,17室8廳7衛(含加蓋7室4廳),40坪,1-2/2樓,34年,住宅,25萬
WS47496,正仰德大道景觀別墅新建照,士林區仰德大道二段,3廳,58坪,1/1樓,60年,住宅,56萬
ZS194775,頂豪!高樓、三面採光、無敵景觀,士林區中山北路五段,3房(室)2廳2衛,90坪,16/18樓,83年,住宅,75萬
WS46431,JZ9文化大學收租店面,士林區華岡路,開放式,114坪,1/4樓,109年,店面,102萬
YS186638,專任.天母東.新光三越.邊間.,士林區天母東路,3房(室)2廳2衛,137坪,7/7樓,131年,住宅,126萬
WS52745,專約-士林捷運旁高樓景觀美廈,士林區福榮街,5房(室)2廳4衛,163坪,8/8樓,156年,住宅,150萬
YS187810,藏峰樹景名邸,士林區承德路四段,4房(室)2廳2衛,189坪,3/14樓,182年,住宅,176萬
YS186567,天母國際黃金金店,士林區天母西路,開放式,212坪,1/11樓,206年,店面,202萬
YS186959,T244八方來財天母百坪店面,士林區天母西路,--房(室)2廳2衛,232坪,B1/7樓,226年,店面,222萬
YS185222,小靜優選-士林新天地高樓景觀三室坡平車位,士林區大南路,3室1廳2衛1陽台,255坪,13/13樓,250年,住宅,244萬
YS186623,天母廣場金店面,士林區天母西路,開放式,44坪,1/11樓,36年,店面,26萬
YS188502,T251天母德東黃金綠意透天,士林區德行東路,13房(室)2廳5衛,74坪,1-2/2樓,68年,住宅,58萬
YS187540,士林夜市黃金透店,士林區文林路,--房(室)3廳1衛,89坪,1-3/3樓,93年,住宅,86萬
YS183038,T216天母忠誠新光仰賢高樓,士林區忠誠路二段,3房(室)2廳2衛,122坪,11/14樓,116年,住宅,110萬
WS57261,士林夜市透天店面 地23.6坪,士林區文林路,--房(室)2廳1衛,136坪,1-2/2樓,137年,住宅,134萬
YS190975,T268士北科美妝電梯兩房,士林區重慶北路四段,2房(室)1廳1衛,164坪,3/7樓,159年,住宅,153萬
YS190195,*新美齊高樓景觀戶,士林區中山北路六段,4房(室)2廳3衛,189坪,13/14樓,183年,住宅,177萬
YS186993,北士科捷運三房靜巷美寓,士林區文林路,3房(室)2廳2衛,212坪,3/5樓,205年,住宅,201萬
YS191250,士林捷運低樓層三房,士林區美崙街,2房1廳1衛；加蓋1房,225坪,2/3樓,227年,住宅,25萬
YS190492,美國學校四房好停車1樓,士林區中山北路六段,4房(室)2廳2衛,252坪,1/5樓,246年,住宅,243萬
YS192860,天母璀燦美麗豪邸+雙車,士林區德行東路,3房(室)2廳2衛,46坪,4/9樓,38年,住宅,26萬
WS66091,天母華琪大廈,士林區天母東路,3房(室)2廳2衛,71坪,5/10樓,65年,住宅,59萬
YS188492,新光三越雙金店面,士林區天母東路,2房(室)2廳3衛,98坪,1/7樓,91年,店面,84萬
YS187067,T169圓山兩房魔術空間美屋,士林區基河路,2房(室)2廳2衛,123坪,7/11樓,116年,住宅,111萬
YS190979,德東稀有透天釋出,士林區德行東路,6房1廳4衛1室,145坪,1-2/2樓,140年,住宅,134萬
YS196008,獨家劍潭捷運高樓景觀,士林區通河東街一段,--房(室)1廳1衛,168坪,5/5樓,162年,廠房,155萬
YS194935,T292社子低總價邊間三房美寓,士林區社中街,3房(室)1廳1衛,189坪,4/5樓,184年,住宅,180萬
YS194988,社子國小邊間美寓,士林區永平街,3房(室)2廳2衛,208坪,4/5樓,184年,住宅,201萬
XS138985,外雙溪便宜農地,士林區溪山段三小段,27,27坪,27/27樓,27年,土地,155萬
WS66843,G40陽明山臨馬路土地,士林區平等段二小段,27,27坪,27/27樓,27年,土地,233萬
YS195612,T297社中街三房近公園美寓,士林區社中街,3房(室)1廳1衛,44坪,4/5樓,37年,住宅,26萬
XS83600,十年新采采松廬景觀豪邸,士林區仰德大道四段,3房(室)3廳3衛,69坪,4/5樓,64年,住宅,58萬
ZS175385,陽明菁山聚財寶穴別墅,士林區菁山路,5房(室)3廳6衛,92坪,B1-2/2樓,87年,住宅,79萬
YS174635,鄰忠誠路SOGO美寓,士林區德行東路,3房(室)2廳2衛,114坪,5/5樓,108年,住宅,104萬
XS127730,至善路二段土地,士林區至善路二段,25,25坪,25/25樓,25年,土地,125萬
ZS190732,士林捷運站旁公寓,士林區美德街,4+1房3衛,150坪,4/4樓,145年,住宅,141萬
YS182531,文化大學金雞母,士林區華岡路,5房(室)--廳5衛,171坪,B1/5樓,166年,住宅,161萬
YS192331,豪官大廈全新套房,士林區光華路,1房(室)1廳1衛,192坪,7/7樓,186年,住宅,181萬
YS196137,T304天母桓琚新成屋三房車,士林區天母東路,3房(室)2廳2衛,211坪,4/12樓,207年,住宅,202萬
TS142733,A202近士林捷運黃金一樓,士林區文林路,5房(室)--廳5衛,230坪,1/2樓,225年,住宅,221萬
YS196133,芝山捷運SOGO鼎佳,士林區中山北路六段,2廳1室/加蓋:2廳1室,41坪,5/5樓,34年,住宅,26萬
YS196394,新天母稀有金店面,士林區德行東路,開放式,58坪,1/3樓,63年,店面,56萬
YS196380,天母靜好邊間景觀戶,士林區中山北路六段,2房(室)1廳1衛,90坪,5/14樓,84年,住宅,77萬
YS194632,天母景觀透天別墅,士林區中山北路七段,5房(室)3廳4衛,103坪,1-2/2樓,108年,住宅,100萬
YS194419,S008士東商圈電梯四房美廈,士林區士東路,4房(室)2廳2衛,141坪,6/7樓,134年,住宅,127萬
YS195130,太平洋面綠樹電梯三房,士林區中山北路七段,3房(室)2廳2衛,160坪,3/7樓,155年,住宅,152萬
YS194601,蘭雅國小雅寓,士林區克強路,3房(室)2廳2衛,184坪,4/5樓,177年,住宅,173萬
WS66989,G14陽明山仰德大道農舍土地,士林區至善段四小段,25,25坪,25/25樓,25年,土地,196萬
YS62914,士林夜市鎮金店面$,士林區文林路,開放式,214坪,1-2/3樓,217年,店面,213萬
OS126879,V18士林環河北路店面Ⅱ,士林區環河北路三段,2房(室)2廳1衛,242坪,1/5樓,236年,住宅,232萬
ZS113194,欣翰士林官邸商辦,士林區中山北路五段,1房(室)1廳1衛,43坪,6/12樓,36年,辦公,26萬
OS126878,V17士林環河北路店面Ⅰ,士林區環河北路三段,1房(室)1廳2衛,72坪,1/5樓,66年,店面,57萬
YS144716,天母欒樹景觀美廈,士林區忠誠路一段,3房(室)2廳2衛,97坪,5/9樓,91年,住宅,84萬
ZS150210,仰德庭院景緻別墅,士林區仰德大道二段,5房(室)3廳5衛,121坪,1-2/2樓,115年,住宅,107萬
