物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
YS184660,中山捷運精裝豪邸,中山區中山北路一段,4房(室)2廳3衛,95坪,8/15樓,89年,住宅,82萬
WS48405,BZ8新生北高樓美套房,中山區新生北路一段,1房(室)1廳1衛,118坪,8/12樓,112年,住宅,108萬
WS51005,DZ2美妍家邊間陽光美宅,中山區中山北路二段,2房(室)1廳2衛,139坪,3/12樓,134年,住宅,129萬
WS49561,行天宮超值三房,中山區民生東路二段,3房(室)2廳1衛,160坪,3/4樓,156年,住宅,150萬
WS46901,JZ8林森南京三角窗金店面,中山區林森北路,3房(室)2廳1衛,181坪,1-2/14樓,176年,店面,171萬
WS46822,JZ8林森南京超商金店面,中山區林森北路,2房(室)2廳1衛,198坪,1-2/14樓,176年,店面,191萬
WS53095,EZ8民權東路｜龍騰三房車,中山區民權東路二段,3房(室)2廳2衛,216坪,4/12樓,211年,住宅,207萬
WS52866,BZ9金澤｜校園景觀｜毛胚雙車,中山區樂群二路,開放式,238坪,6/7樓,233年,住宅,227萬
WS49416,中山南京東三面景觀大商辦,中山區南京東路一段,13室/3廳/2衛,41坪,11/11樓,34年,辦公,26萬
QS36802,康寧低總價三房,中山區林森北路,3房(室)1廳1衛,70坪,8/12樓,64年,住宅,56萬
WS63141,BZ6民權西路站 | 低總美宅,中山區撫順街,1房(室)1廳1衛,95坪,3/10樓,89年,住宅,82萬
WS53340,JZ9松江南京旺宅住辦,中山區林森北路,3房(室)1廳1衛,116坪,1/7樓,111年,辦公,106萬
WS53774,K4五條通置產收租首選,中山區林森北路,4房(室)--廳4衛,130坪,2/4樓,134年,住宅,127萬
WS54519,DZ9中山國小站住辦可兩房,中山區林森北路,--房(室)1廳1衛,158坪,4/10樓,153年,住商,149萬
WS55527,中山德運官鼎三房城堡,中山區民生東路二段,3房(室)2廳2衛,178坪,10/14樓,173年,住宅,168萬
WS55691,EZ7京硯｜奢華經典豪邸,中山區建國北路一段,3房(室)2廳3衛,200坪,11/13樓,195年,住宅,190萬
OS217270,松江南京長安宴,中山區長安東路二段,1房(室)1廳1衛,223坪,7/13樓,215年,住宅,212萬
WS65892,紐約紐約車位,中山區中山北路二段,車位,25坪,B3/14樓,239年,車位,234萬
WS65900,紐約紐約2個車位(可單買),中山區中山北路二段,車位,25坪,B2-B3/14樓,34年,車位,26萬
WS65897,紐約紐約車位,中山區中山北路二段,車位,25坪,B2/14樓,34年,車位,50萬
YS193059,中山統億大廈車位,中山區新生北路三段,--房(室)--廳--衛,76坪,B1/12樓,70年,車位,64萬
WS67810,IZ9基泰之星B2坡平車位,中山區農安街,車位,98坪,-2/14樓,92年,車位,87萬
WS67555,IZ8官景公園樓中樓雙車位,中山區民族東路,--房(室)--廳3衛,121坪,4-5/6樓,116年,住宅,108萬
YS193071,中山新生北8車位,中山區新生北路三段,--房(室)--廳--衛,135坪,B1/12樓,70年,車位,131萬
WS67667,大直聖荷西5房3車豪邸,中山區堤頂大道二段,5房(室)2廳3衛,160坪,4/11樓,154年,住宅,147萬
WS61419,CZ2A棟最A中山松悅名邸,中山區中山北路一段,2房(室)2廳2衛,184坪,7/22樓,178年,住宅,172萬
WS67076,B6低總採光邊間套房,中山區林森北路,1房(室)1廳1衛,206坪,7/8樓,201年,住宅,194萬
WS58031,FZ3行天宮捷運成家大空間,中山區民生東路二段,3房(室)2廳1衛,228坪,3/4樓,223年,住宅,217萬
WS59632,D7中山國小｜方正套房,中山區林森北路,1房(室)1廳1衛,43坪,6/11樓,36年,住宅,26萬
WS54686,正面公園整層商辦,中山區南京東路一段,13室3廳2衛,68坪,11/11樓,62年,辦公,57萬
WS65758,231松江花博電梯2房美妝宅,中山區松江路,2房(室)1廳1衛,93坪,3/6樓,87年,住宅,81萬
WS58537,DZ6中山捷運精品採光美寓,中山區中山北路二段,2房(室)2廳2衛,116坪,3/5樓,111年,住宅,105萬
WS58277,錦州面公園美景,中山區新生北路二段,2房/2廳/1衛/1室,138坪,3/4樓,132年,住宅,127萬
WS54388,捷運首排辦公附雙車位,中山區民權西路,2房(室)--廳--衛,162坪,9/12樓,156年,辦公,149萬
WS57502,忠孝新生上城若水高樓景觀,中山區市民大道三段,1房(室)1廳1衛,181坪,11/15樓,177年,住宅,173萬
WS60861,位最美中山香榭三室電梯含車,中山區中山北路二段,3室/2廳/1衛,200坪,6/9樓,195年,住宅,192萬
WS57510,忠孝新生上城若水高樓車位,中山區市民大道三段,2房(室)2廳1衛,212坪,11/15樓,177年,住宅,209萬
WS60627,HZ4松江路大空間黃金二樓,中山區松江路,4房(室)2廳2衛,225坪,2/5樓,227年,住宅,222萬
WS63850,松江南京絕版採光2+1房,中山區伊通街,2+1房1廳1衛,42坪,3/9樓,35年,住宅,26萬
YS190230,大直獨具匠心樓中樓住或辦,中山區大直街,2房(室)2廳2衛,72坪,1/5樓,66年,住宅,58萬
ZS195033,中山國小收租美寓,中山區吉林路,6房(室)4廳4衛,99坪,4/4樓,92年,住宅,85萬
WS65328,南京復興面公園二房車,中山區合江街,2房(室)2廳1衛,123坪,3/11樓,118年,住宅,111萬
YS192674,捷運中山國中錦州福邸,中山區錦州街,3房(室)2廳2衛,144坪,5/7樓,139年,住宅,134萬
WS62174,JZ8松江南京｜純商辦｜金融商圈,中山區松江路,9室1廳2衛,166坪,9/11樓,160年,辦公,155萬
WS64759,中山龍騰尊榮大戶,中山區民權東路二段,5房(室)2廳3衛,186坪,3/12樓,181年,住宅,175萬
WS65888,308中山國中捷運電梯三房,中山區龍江路,3房2廳2衛2陽台,209坪,4/7樓,203年,住宅,198萬
WS61313,首泰聖荷西大戶豪邸,中山區堤頂大道二段,5房(室)2廳3衛,229坪,4/11樓,223年,住宅,220萬
WS63947,C8遠雄首府首購必買2房車,中山區林森北路,2房(室)1廳1衛,251坪,10/13樓,246年,住宅,240萬
WS66692,FZ3榮星花園｜雍華庭三房,中山區龍江路,3房(室)2廳2衛,43坪,4/7樓,36年,住宅,25萬
WS65334,力麒縉紳高樓景觀豪宅,中山區松江路,4房(室)2廳2衛,70坪,13/14樓,64年,住宅,56萬
WS65318,松江南京一樓金店,中山區松江路,3室1廳1衛,84坪,1/4樓,88年,店面,82萬
WS66301,A6禾碩榮星高樓精裝小豪邸,中山區五常街,1房(室)1廳1衛,113坪,7/12樓,108年,住宅,102萬
WS64546,條通低總價小資2房,中山區林森北路,2房(室)1廳1衛,137坪,1/5樓,132年,住宅,126萬
ZS199351,松江金棧美二房,中山區松江路,2房(室)1廳1衛,157坪,3/6樓,152年,住宅,148萬
WS67401,DZ8中山明亮置產成家2房,中山區林森北路,2房(室)1廳1衛,177坪,2/7樓,172年,住宅,169萬
WS67029,南京龍江三房新廈,中山區南京東路三段,3房(室)2廳2衛,199坪,4/10樓,194年,住宅,190萬
WS66442,近中山國中站電梯美妝三房,中山區錦州街,3房(室)2廳2衛,219坪,5/7樓,213年,住宅,210萬
WS67238,HZ5長安琚｜景觀大戶四房,中山區林森北路,4房(室)2廳2衛,238坪,9/9樓,233年,住宅,230萬
ZS197909,松江民生一樓,中山區松江路,2房(室)1廳3衛,45坪,1-B1/5樓,38年,住宅,26萬
WS67240,HZ5長安琚｜景觀大戶三房,中山區林森北路,3房(室)2廳2衛,72坪,9/9樓,65年,住宅,58萬
WS67954,DZ6雙連捷運低總成家美兩房,中山區中山北路二段,2房(室)1廳1衛,95坪,8/11樓,91年,住宅,84萬
WS66216,中山晶華綠蔭景觀整層商辦,中山區中山北路二段,3室2廳2衛,118坪,5/12樓,112年,辦公,107萬
WS66911,中山香榭邊間三室附車位,中山區中山北路二段,3房(室)1廳1衛,140坪,6/9樓,134年,住宅,130萬
WS67717,FZ4中山國中｜福邸美廈,中山區錦州街,3房(室)2廳2衛,160坪,5/7樓,155年,住宅,151萬
WS68044,國賓Villa車位,中山區德惠街,車位,25坪,1/12樓,178年,車位,173萬
TS142989,584BS民生東路金店面,中山區民權東路一段,1房(室)6廳4衛,207坪,B1-1/10樓,200年,店面,192萬
WS02206,C29基泰高樓露台面圓山,中山區農安街,1房(室)1廳1衛,229坪,14/14樓,224年,住宅,219萬
WS21974,濱江汽修展售工業地,中山區濱江街,25,25坪,25/25樓,25年,土地,241萬
WS35920,台北大學商圈土地,中山區,25,25坪,25/25樓,25年,土地,26萬
WS43966,吉林路土地(靠錦州街),中山區吉林段三小段,25,25坪,25/25樓,25年,土地,48萬
WS63167,B8愛的迫降3樓,中山區民族東路,開放式,79坪,3/4樓,73年,住宅,65萬
WS63151,B8愛的迫降2樓,中山區民族東路,開放式,96坪,2/4樓,73年,住宅,89萬
WS67226,JZ9善導寺捷運全新金店面,中山區林森北路,開放式,120坪,1/9樓,115年,店面,107萬
WS68397,CZ3伊通苑｜複合式三房,中山區伊通街,3房(室)1廳1衛,141坪,3/9樓,136年,住宅,130萬
WS67869,三輝白宮典雅豪邸,中山區復興北路,4房(室)2廳2衛,164坪,4/14樓,159年,住宅,153萬
WS68465,D2南京復興無障礙陽光宅,中山區民生東路三段,2房(室)2廳1衛,185坪,2/13樓,180年,住宅,174萬
WS67398,J8金庫聚財傳家寶,中山區長春路,--房(室)2廳--衛,207坪,1-2/11樓,202年,辦公,195萬
ZS199346,中山國小美三房,中山區雙城街,3房(室)2廳1衛,220坪,4/4樓,222年,住宅,35萬
WS68555,E4松江御苑經典美邸,中山區建國北路二段,3房(室)2廳2衛,44坪,4/15樓,37年,住宅,26萬
WS68584,E4松江御苑樹梢美邸,中山區建國北路二段,3房(室)2廳2衛,44坪,4/15樓,37年,住宅,26萬
WS68280,F7中山國小電梯獨戶三房,中山區新生北路二段,3房(室)2廳2衛,80坪,5/7樓,75年,住宅,68萬
WS67694,五常國中校園美景公寓2樓,中山區復興北路,3房(室)2廳2衛,102坪,2/5樓,96年,住宅,91萬
OS218996,龍騰質感3房首選+坡車,中山區民權東路二段,3房(室)2廳2衛,122坪,4/12樓,116年,住宅,112萬
ZS199635,冠德大直湛美二房,中山區北安路,2房(室)2廳2衛,146坪,15/16樓,140年,住宅,135萬
WS69448,J6時代廣場稀有小坪辦公室,中山區植福路,--房(室)1廳--衛,170坪,6/10樓,165年,辦公,157萬
WS69863,CZ3伊通苑｜高樓景觀宅,中山區伊通街,1房(室)1廳1衛,192坪,8/9樓,187年,住宅,181萬
TS142954,580BS民生東路金店面I,中山區民生東路一段,--房(室)3廳2衛,217坪,1/10樓,210年,店面,204萬
WS70169,和歌.誠美挑高4米2雙店面,中山區雙城街,OPEN,237坪,1/15樓,231年,住宅,227萬
WS63893,國際有約車位,中山區林森北路,車位,25坪,25/13樓,33年,車位,26萬
YS195495,Y609民生東路商四特土地,中山區民生東路一段,25,25坪,25/25樓,25年,土地,53萬
