物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
富春居稀有二房豪邸採光好,中山北路七段,0,0,0,0,0,0,1,0,0,0,0,0,168.0,0,2.0,2.0,2.0,2.0,0,7.0,3.0,3.0,1.0,0,1,0,0,0
劍潭站靜巷美廈邊間附車位,基河路,0,0,0,0,0,0,1,0,0,0,0,0,191.0,1,3.0,2.0,2.0,3.0,0,16.0,4.0,4.0,1.0,0,1,0,0,0
富春居富人居,中山北路七段,0,0,0,0,0,0,1,0,0,0,0,0,209.0,0,1.0,2.0,2.0,1.0,0,7.0,5.0,5.0,1.0,0,1,0,0,0
陽明山系綠意景觀菁山路放翁名蘆,菁山路,0,0,0,0,0,0,1,0,0,0,0,0,227.0,0,4.0,2.0,2.0,4.0,0,5.0,2.0,2.0,1.0,0,1,0,0,0
天母庭園明星學區電梯美三房,天母西路,0,0,0,0,0,0,1,0,0,0,0,0,245.0,0,3.0,2.0,2.0,3.0,0,7.0,2.0,2.0,1.0,0,0,0,0,0
T306近未來Y24裝潢美寓,重慶北路四段,0,0,0,0,0,0,1,0,0,0,0,0,42.0,0,3.0,3.0,3.0,3.0,0,4.0,4.0,4.0,1.0,0,1,0,0,0
陽明山山居行旅整棟,建業路,0,0,0,0,0,0,1,0,0,0,0,0,70.0,0,92.0,1.0,92.0,92.0,0,4.0,1.0,4.0,4.0,0,1,0,0,0
文化大學獨棟出租套房,格致路,0,0,0,0,0,0,1,0,0,0,0,0,95.0,0,26.0,,26.0,26.0,0,5.0,-1.0,5.0,7.0,0,0,1,0,0
士林自住置產首選,重慶北路四段,0,0,0,0,0,0,1,0,0,0,0,0,112.0,0,3.0,2.0,1.0,3.0,0,4.0,4.0,4.0,1.0,0,1,0,0,0
士林中正室內車位,中正路,0,0,0,0,0,0,1,0,0,0,0,0,25.0,1,,,,,0,11.0,-1.0,-1.0,1.0,0,0,0,0,0
故宮花園足坪農地,至善段五小段,0,0,0,0,0,0,1,0,0,0,0,0,25.0,0,,,,,0,25.0,25.0,25.0,1.0,0,0,0,0,0
陽明山永公泳池景觀別墅,永公路,0,0,0,0,0,0,1,0,0,0,0,0,174.0,0,5.0,3.0,3.0,5.0,0,2.0,1.0,2.0,2.0,0,1,0,0,0
陽明綠莊花園別墅,中庸五路,0,0,0,0,0,0,1,0,0,0,0,0,195.0,0,5.0,2.0,3.0,5.0,0,2.0,1.0,2.0,2.0,0,1,0,0,0
