物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS39081,台大三角窗黃金店面,大安區辛亥路二段,3廳1衛2室,27坪,B1-1/4樓,34年,店面,25萬
ZS129836,敦南安和遠企金店辦,大安區敦化南路二段,3房(室)2廳2衛,66坪,1/4樓,60年,店面,55萬
WS43526,師大商圈台電大樓站一樓金店,大安區師大路,--房(室)2廳1衛,82坪,1/4樓,85年,住宅,79萬
WS43409,E93敦南林蔭亮麗電梯五房,大安區敦化南路二段,5房(室)2廳2衛,114坪,7/12樓,108年,住宅,101萬
WS42221,統創緻雙捷運精品,大安區復興南路一段,1房(室)--廳--衛,139坪,6/18樓,132年,住宅,126萬
WS33733,仁愛林蔭鑽石名邸,大安區仁愛路四段,4房(室)2廳2衛,164坪,2/12樓,158年,住宅,151萬
WS45774,敦南信義金店面,大安區信義路四段,開放式,187坪,1-B1/12樓,181年,店面,176萬
WS48146,敦南遠企樹海景觀廈,大安區敦化南路二段,4房(室)2廳2衛,200坪,7/12樓,108年,住宅,101萬
YS189217,豪景帝寶豪門大戶-歡迎店配,大安區仁愛路三段,8房7室3廳6衛4陽台,224坪,24/28樓,218年,住宅,211萬
WS44257,金山南路金店面,大安區金山南路二段,1房(室)2廳2衛,240坪,1/6樓,243年,店面,238萬
WS54671,台大南溫州電梯四房華廈,大安區羅斯福路三段,4房(室)3廳2衛,46坪,2/7樓,38年,住宅,25萬
WS70296,雙龍金華電梯二房,大安區泰順街,2房(室)1廳1衛,71坪,3/5樓,66年,住宅,59萬
WS69851,捷運商二土地店辦-1,大安區復興南路二段,4房(室)2廳2衛,95坪,2/8樓,89年,辦公,83萬
WS69861,捷運商二土地店辦-2,大安區復興南路二段,8房(室)3廳3衛,112坪,2/8樓,89年,辦公,106萬
WS69419,哈佛名門森林美宅,大安區信義路三段,3房(室)2廳2衛,138坪,9/13樓,132年,住商,123萬
WS69988,帝寶景觀電梯華廈,大安區建國南路一段,2房(室)2廳2衛,159坪,5/7樓,154年,住宅,150萬
WS69795,新生南路庭院一樓,大安區新生南路三段,2房(室)2廳2衛,178坪,1/4樓,89年,住宅,169萬
WS69870,潤泰大安富陽2房附車,大安區臥龍街,2房(室)2廳2衛,200坪,5/23樓,195年,住宅,191萬
WS69585,國父紀念館高樓採光4房,大安區光復南路,4房(室)2廳2衛,223坪,9/12樓,217年,住宅,212萬
WS70496,國館捷運大巨蛋鼎加,大安區光復南路,4房(室)3廳2衛,242坪,7/7樓,236年,住宅,234萬
WS70874,桓桓溫州高樓2房車,大安區溫州街,2房(室)2廳2衛,39坪,11/15樓,34年,住宅,24萬
QS46152,信義安和優質地段兩房,大安區敦化南路二段,2房(室)1廳1衛,67坪,9/16樓,61年,住宅,53萬
WS70741,瑞安信義全新高樓景觀宅,大安區信義路四段,1房(室)2廳2衛,91坪,12/13樓,85年,住宅,79萬
WS71023,敦南復興中學美廈,大安區敦化南路一段,4房(室)2廳3衛,116坪,4/7樓,111年,住宅,103萬
WS70850,信義安和捷運都更透天洋房,大安區通安街,2房(室)2廳1衛,130坪,1/1樓,134年,住宅,128萬
WS70994,和平高中二樓璞玉,大安區安居街,4房(室)1廳1衛,161坪,2/4樓,156年,住宅,150萬
WS71100,興盛【臨江夜市】鈔集透天店面,大安區臨江街,--房(室)1廳1衛,174坪,1/1樓,177年,店面,172萬
YS197265,安和&仁愛雙學區三房1樓,大安區信義路四段,3房(室)2廳2衛,199坪,1/7樓,197年,住宅,193萬
ZS200780,林肯大廈敦南第一排潛力小宅,大安區敦化南路二段,1房(室)2廳1衛,217坪,8/18樓,61年,住宅,210萬
WS69435,捷運電梯高樓景觀三房,大安區復興南路一段,3房(室)2廳2衛,236坪,9/16樓,230年,住宅,227萬
WS69379,忠孝復興邊間可看101大樓,大安區復興南路一段,3房(室)2廳2衛,43坪,9/16樓,36年,住宅,25萬
WS49422,&信義安和電梯三房,大安區文昌街,3房(室)2廳2衛,71坪,2/7樓,64年,住宅,58萬
WS49463,忠孝復興微風小豪宅,大安區市民大道四段,2房(室)1廳1衛,96坪,8/10樓,90年,住宅,83萬
WS43196,46東區阿波羅優質住辦,大安區忠孝東路四段,4房(室)2廳3衛,124坪,7/13樓,117年,住宅,110萬
YS187149,*通安街精美華廈$,大安區通安街,3房(室)2廳2衛,146坪,8/8樓,139年,住宅,136萬
WS46458,敦南名園名邸+車位,大安區忠孝東路四段,3房(室)2廳2衛,168坪,6/8樓,139年,住宅,159萬
ZS183260,基隆路二段臨江車位,大安區基隆路二段,--房(室)--廳--衛,24坪,B1/12樓,187年,車位,180萬
WS45677,(專任約)正義高樓景觀家,大安區忠孝東路三段,3房(室)2廳1.5衛,215坪,14/14樓,209年,住宅,203萬
WS58904,忠孝敦化捷運站高樓商辦,大安區忠孝東路四段,1廳 4室,238坪,12/12樓,231年,住商,227萬
YS189792,中正國中古亭捷運高樓管理景觀美廈,大安區杭州南路二段,3房(室)2廳2衛,258坪,8/12樓,252年,住宅,249萬
WS57163,J8仁愛稀有透天金店,大安區仁愛路四段,--房(室)2廳2衛,29坪,1-2/2樓,36年,店面,25萬
WS51195,東區核心靜巷雅居,大安區延吉街,3房(室)2廳1衛,74坪,4/5樓,67年,住宅,58萬
WS56132,東區SOGO住辦高樓,大安區忠孝東路四段,4房(室)2廳3衛,101坪,9/11樓,94年,住商,85萬
WS58148,破盤忠孝敦化庭園金店,大安區忠孝東路四段,OPEN,127坪,1/7樓,121年,店面,115萬
WS59617,成功國宅三房,大安區和平東路二段,3房(室)2廳2衛,153坪,8/17樓,147年,住宅,141萬
WS55314,正義高樓將軍戶,大安區忠孝東路三段,3房(室)2廳2衛,177坪,11/12樓,170年,住宅,166萬
WS50534,東豐街黃金門牌稀有傳家金店面,大安區東豐街,依房屋現況為準,202坪,1/7樓,195年,店面,191萬
WS54855,大巨蛋靜巷美寓,大安區延吉街,3房(室)2廳1衛,74坪,4/5樓,67年,住宅,58萬
OS214203,X08捷運忠孝敦化統領景觀辦公,大安區忠孝東路四段,4房(室)1廳--衛,229坪,12/12樓,195年,住商,222萬
