物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS67212,北醫101景觀大露台3房+車位,信義區吳興街,3房(室)2廳2衛,234坪,9/10樓,229年,住宅,225萬
WS67633,忠駝大陸建設都更案甲區,信義區基隆路一段,OPEN,42坪,1/7樓,35年,住宅,26萬
OS219508,國父紀念館黃金地段鼎佳,信義區光復南路,4房(室)2廳2衛,69坪,5/5樓,62年,住宅,55萬
WS67440,象山捷運靜巷一樓,信義區信義路六段,4房(室)3廳2衛,91坪,1/5樓,85年,住宅,81萬
ZS198713,太子永吉收租店面,信義區永吉路,OPEN,114坪,1/12樓,109年,店面,102萬
WS67690,象山站信義特區邊間美寓,信義區信義路五段,3房(室)2廳2衛,126坪,3/4樓,130年,住宅,124萬
WS65303,六張犁公園邊間金店,信義區富陽街,OPEN/1衛,155坪,1/7樓,149年,店面,145萬
WS67475,&永春捷運站店面,信義區松山路,OPEN,176坪,1/4樓,170年,店面,167萬
ZS199451,永春捷運方正3房華廈,信義區虎林街,3房(室)1廳1衛,198坪,3/7樓,193年,住宅,188萬
WS68224,信義川普高樓四房,信義區松隆路,4房(室)2廳2衛,220坪,9/14樓,215年,住宅,210萬
YS195828,吳興街北醫商圈美妝三房,信義區吳興街,3房(室)2廳2衛,233坪,2/4樓,236年,住宅,232萬
WS68147,世貿時尚典雅居,信義區信義路四段,1房(室)1廳1衛,42坪,9/12樓,35年,住宅,25萬
WS68378,基泰國際面中庭3房平車,信義區基隆路二段,3房(室)2廳2衛,68坪,2/15樓,62年,住宅,55萬
YS173191,Y199後山埤捷運大面寬金店,信義區林口街,2房(室)1廳2衛,93坪,1/10樓,87年,店面,79萬
YS196006,世紀金融A級辦公-1,信義區信義路四段,8室2廳1陽台,116坪,16/27樓,111年,辦公,105萬
YS195979,世紀金融A級辦公-2,信義區信義路四段,開放式,132坪,16/27樓,111年,辦公,126萬
ZS199362,富陽電梯鼎家收租,信義區富陽街,9房(室)1廳9衛,68坪,7/7樓,147年,住宅,141萬
WS68689,信義翰邑之星豪邸,信義區信義路五段,4房(室)2廳3衛,175坪,2/7樓,170年,住宅,165萬
WS68728,屋況超美101明亮邸佳,信義區吳興街,4房(室)2廳3衛,197坪,5/5樓,191年,住宅,186萬
WS69240,大巨蛋松菸文創三角窗金店面,信義區忠孝東路四段,--房(室)--廳1衛,219坪,1/7樓,213年,店面,209萬
WS69723,莊敬路電梯美四房,信義區莊敬路,4房(室)1廳2衛,238坪,4/7樓,35年,住宅,229萬
WS69691,法拉麗時尚精品,信義區和平東路三段,1房(室)1廳1衛,43坪,11/14樓,36年,住宅,26萬
ZS200224,世貿莊敬都更華廈,信義區莊敬路,2房(室)2廳1衛,71坪,6/7樓,65年,住宅,58萬
OS221761,光復仁愛三角窗金店面,信義區光復南路,--房(室)1廳1衛,97坪,1/5樓,91年,店面,83萬
WS70208,信義安和車位美廈,信義區光復南路,2+1房2廳1衛1陽台,121坪,2/12樓,115年,住宅,109萬
WS64900,五分埔收租5房聖品,信義區永吉路,5房(室)--廳5衛,145坪,1-3/3樓,140年,住宅,132萬
ZS156573,松山金店面,信義區松山路,2房(室)1廳2衛,164坪,B1-2/7樓,160年,店面,155萬
gZB06983,捷運富陽邊間四樓頂加,信義區富陽街,6房(室)3廳3衛,187坪,4/4樓,180年,住宅,175萬
gXB07528,信義大安文普世紀純辨大樓,信義區基隆路二段,--房(室)--廳--衛,209坪,21/21樓,204年,辦公,198萬
